IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
RERE,RERE,UBE2J2,UBE2J2,SDF4,SDF4,SDF4,SDF4,UBE2J2,UBE2J2,SDF4,SDF4,SDF4,SDF4,RERE,RERE,SDF4,SDF4,ACAP3,ACAP3,HIVEP3,HIVEP3,PRDM2,PRDM2,CASZ1,CASZ1,CASZ1,CASZ1,PRDM2,PRDM2,CASZ1,CASZ1,CASZ1,CASZ1,HIVEP3,HIVEP3,CASZ1,CASZ1,PRDM2,PRDM2,SOD1,SOD1,CHODL,CHODL,CHODL,CHODL,CHODL,CHODL,CHODL,CHODL,CHODL,CHODL,CHODL,CHODL,SOD1,SOD1,CHODL,CHODL,MRPL39,MRPL39
ENO1,ENO1,ACAP3,ACAP3,B3GALT6,B3GALT6,B3GALT6,B3GALT6,ACAP3,ACAP3,B3GALT6,B3GALT6,B3GALT6,B3GALT6,ENO1,ENO1,B3GALT6,B3GALT6,PUSL1,PUSL1,FOXJ3,FOXJ3,ZBTB17,ZBTB17,PRDM2,PRDM2,PRDM2,PRDM2,ZBTB17,ZBTB17,PRDM2,PRDM2,PRDM2,PRDM2,FOXJ3,FOXJ3,PRDM2,PRDM2,ZBTB17,ZBTB17,CFAP298,CFAP298,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,NCAM2,CFAP298,CFAP298,NCAM2,NCAM2,JAM2,JAM2
CLSTN1,CLSTN1,PUSL1,PUSL1,UBE2J2,UBE2J2,UBE2J2,UBE2J2,PUSL1,PUSL1,UBE2J2,UBE2J2,UBE2J2,UBE2J2,CLSTN1,CLSTN1,UBE2J2,UBE2J2,INTS11,INTS11,YBX1,YBX1,ZBTB40,ZBTB40,ZBTB17,ZBTB17,ZBTB17,ZBTB17,ZBTB40,ZBTB40,ZBTB17,ZBTB17,ZBTB17,ZBTB17,YBX1,YBX1,ZBTB17,ZBTB17,ZBTB40,ZBTB40,PAXBP1,PAXBP1,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,MRPL39,PAXBP1,PAXBP1,MRPL39,MRPL39,ATP5PF,ATP5PF
LZIC,LZIC,INTS11,INTS11,ACAP3,ACAP3,ACAP3,ACAP3,INTS11,INTS11,ACAP3,ACAP3,ACAP3,ACAP3,LZIC,LZIC,ACAP3,ACAP3,CPTP,CPTP,JUN,JUN,ZNF436,ZNF436,ZBTB40,ZBTB40,ZBTB40,ZBTB40,ZNF436,ZNF436,ZBTB40,ZBTB40,ZBTB40,ZBTB40,JUN,JUN,ZBTB40,ZBTB40,ZNF436,ZNF436,SON,SON,JAM2,JAM2,JAM2,JAM2,JAM2,JAM2,JAM2,JAM2,JAM2,JAM2,JAM2,JAM2,SON,SON,JAM2,JAM2,GABPA,GABPA
UBE4B,UBE4B,CPTP,CPTP,PUSL1,PUSL1,PUSL1,PUSL1,CPTP,CPTP,PUSL1,PUSL1,PUSL1,PUSL1,UBE4B,UBE4B,PUSL1,PUSL1,DVL1,DVL1,NFIA,NFIA,E2F2,E2F2,ZNF436,ZNF436,ZNF436,ZNF436,E2F2,E2F2,ZNF436,ZNF436,ZNF436,ZNF436,NFIA,NFIA,ZNF436,ZNF436,ID3,ID3,CRYZL1,CRYZL1,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,ATP5PF,CRYZL1,CRYZL1,ATP5PF,ATP5PF,APP,APP
KIF1B,KIF1B,DVL1,DVL1,INTS11,INTS11,INTS11,INTS11,DVL1,DVL1,INTS11,INTS11,INTS11,INTS11,KIF1B,KIF1B,INTS11,INTS11,AURKAIP1,AURKAIP1,FUBP1,FUBP1,ID3,ID3,E2F2,E2F2,E2F2,E2F2,ID3,ID3,E2F2,E2F2,E2F2,E2F2,FUBP1,FUBP1,E2F2,E2F2,ZNF593,ZNF593,ITSN1,ITSN1,GABPA,GABPA,GABPA,GABPA,GABPA,GABPA,GABPA,GABPA,GABPA,GABPA,GABPA,GABPA,ITSN1,ITSN1,GABPA,GABPA,CYYR1,CYYR1
PGD,PGD,AURKAIP1,AURKAIP1,CPTP,CPTP,CPTP,CPTP,AURKAIP1,AURKAIP1,CPTP,CPTP,CPTP,CPTP,PGD,PGD,CPTP,CPTP,CCNL2,CCNL2,ZNF326,ZNF326,ZNF593,ZNF593,ID3,ID3,ID3,ID3,ZNF593,ZNF593,ID3,ID3,ID3,ID3,ZNF326,ZNF326,ID3,ID3,ARID1A,ARID1A,ATP5PO,ATP5PO,APP,APP,APP,APP,APP,APP,APP,APP,APP,APP,APP,APP,ATP5PO,ATP5PO,APP,APP,LTN1,LTN1
SRM,SRM,CCNL2,CCNL2,DVL1,DVL1,DVL1,DVL1,CCNL2,CCNL2,DVL1,DVL1,DVL1,DVL1,SRM,SRM,DVL1,DVL1,MRPL20-AS1,MRPL20-AS1,ZNF644,ZNF644,ARID1A,ARID1A,ZNF593,ZNF593,ZNF593,ZNF593,ARID1A,ARID1A,ZNF593,ZNF593,ZNF593,ZNF593,ZNF644,ZNF644,ZNF593,ZNF593,GMEB1,GMEB1,MRPS6,MRPS6,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,CYYR1,MRPS6,MRPS6,CYYR1,CYYR1,USP16,USP16
VPS13D,VPS13D,MRPL20-AS1,MRPL20-AS1,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1,MRPL20-AS1,MRPL20-AS1,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1,VPS13D,VPS13D,AURKAIP1,AURKAIP1,MRPL20,MRPL20,MTF2,MTF2,GMEB1,GMEB1,ARID1A,ARID1A,ARID1A,ARID1A,GMEB1,GMEB1,ARID1A,ARID1A,ARID1A,ARID1A,MTF2,MTF2,ARID1A,ARID1A,ZBTB8B,ZBTB8B,MORC3,MORC3,N6AMT1,N6AMT1,ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS5,ADAMTS5,ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1,MORC3,MORC3,ADAMTS1,ADAMTS1,CCT8,CCT8
PRDM2,PRDM2,MRPL20,MRPL20,CCNL2,CCNL2,CCNL2,CCNL2,MRPL20,MRPL20,CCNL2,CCNL2,CCNL2,CCNL2,PRDM2,PRDM2,CCNL2,CCNL2,ATAD3B,ATAD3B,MLLT11,MLLT11,ZBTB8B,ZBTB8B,GMEB1,GMEB1,GMEB1,GMEB1,ZBTB8B,ZBTB8B,GMEB1,GMEB1,GMEB1,GMEB1,MLLT11,MLLT11,GMEB1,GMEB1,ZBTB8A,ZBTB8A,TTC3,TTC3,LTN1,LTN1,ADAMTS5,ADAMTS5,ADAMTS5,ADAMTS5,N6AMT1,N6AMT1,ADAMTS5,ADAMTS5,ADAMTS5,ADAMTS5,TTC3,TTC3,ADAMTS5,ADAMTS5,BACH1,BACH1
KAZN,KAZN,ATAD3B,ATAD3B,MRPL20-AS1,MRPL20-AS1,MRPL20-AS1,MRPL20-AS1,ATAD3B,ATAD3B,MRPL20-AS1,MRPL20-AS1,MRPL20-AS1,MRPL20-AS1,KAZN,KAZN,MRPL20-AS1,MRPL20-AS1,ATAD3A,ATAD3A,POGZ,POGZ,ZBTB8A,ZBTB8A,ZBTB8B,ZBTB8B,ZBTB8B,ZBTB8B,ZBTB8A,ZBTB8A,ZBTB8B,ZBTB8B,ZBTB8B,ZBTB8B,POGZ,POGZ,ZBTB8B,ZBTB8B,ZNF362,ZNF362,DYRK1A,DYRK1A,USP16,USP16,N6AMT1,N6AMT1,N6AMT1,N6AMT1,LTN1,LTN1,N6AMT1,N6AMT1,N6AMT1,N6AMT1,DYRK1A,DYRK1A,N6AMT1,N6AMT1,GRIK1,GRIK1
SPEN,SPEN,ATAD3A,ATAD3A,MRPL20,MRPL20,MRPL20,MRPL20,ATAD3A,ATAD3A,MRPL20,MRPL20,MRPL20,MRPL20,SPEN,SPEN,MRPL20,MRPL20,TMEM240,TMEM240,GATAD2B,GATAD2B,ZNF362,ZNF362,ZBTB8A,ZBTB8A,ZBTB8A,ZBTB8A,ZNF362,ZNF362,ZBTB8A,ZBTB8A,ZBTB8A,ZBTB8A,GATAD2B,GATAD2B,ZBTB8A,ZBTB8A,SFPQ,SFPQ,BRWD1,BRWD1,CCT8,CCT8,LTN1,LTN1,LTN1,LTN1,USP16,USP16,LTN1,LTN1,LTN1,LTN1,BRWD1,BRWD1,LTN1,LTN1,TIAM1,TIAM1
FBXO42,FBXO42,TMEM240,TMEM240,ATAD3B,ATAD3B,ATAD3B,ATAD3B,TMEM240,TMEM240,ATAD3B,ATAD3B,ATAD3B,ATAD3B,FBXO42,FBXO42,ATAD3B,ATAD3B,SSU72,SSU72,ASH1L,ASH1L,SFPQ,SFPQ,ZNF362,ZNF362,ZNF362,ZNF362,SFPQ,SFPQ,ZNF362,ZNF362,ZNF362,ZNF362,ASH1L,ASH1L,ZNF362,ZNF362,MTF1,MTF1,HMGN1,HMGN1,BACH1,BACH1,USP16,USP16,USP16,USP16,CCT8,CCT8,USP16,USP16,USP16,USP16,HMGN1,HMGN1,USP16,USP16,SOD1,SOD1
SDHB,SDHB,SSU72,SSU72,ATAD3A,ATAD3A,ATAD3A,ATAD3A,SSU72,SSU72,ATAD3A,ATAD3A,ATAD3A,ATAD3A,SDHB,SDHB,ATAD3A,ATAD3A,AL691432.2,AL691432.2,GON4L,GON4L,MTF1,MTF1,SFPQ,SFPQ,SFPQ,SFPQ,MTF1,MTF1,SFPQ,SFPQ,SFPQ,SFPQ,GON4L,GON4L,SFPQ,SFPQ,POU3F1,POU3F1,GET1,GET1,GRIK1,GRIK1,CCT8,CCT8,CCT8,CCT8,BACH1,BACH1,CCT8,CCT8,CCT8,CCT8,GET1,GET1,CCT8,CCT8,SCAF4,SCAF4
CAPZB,CAPZB,AL691432.2,AL691432.2,TMEM240,TMEM240,TMEM240,TMEM240,AL691432.2,AL691432.2,TMEM240,TMEM240,TMEM240,TMEM240,CAPZB,CAPZB,TMEM240,TMEM240,MIB2,MIB2,PBX1,PBX1,POU3F1,POU3F1,MTF1,MTF1,MTF1,MTF1,POU3F1,POU3F1,MTF1,MTF1,MTF1,MTF1,PBX1,PBX1,MTF1,MTF1,RLF,RLF,DSCAM,DSCAM,TIAM1,TIAM1,BACH1,BACH1,BACH1,BACH1,GRIK1,GRIK1,BACH1,BACH1,BACH1,BACH1,DSCAM,DSCAM,BACH1,BACH1,HUNK,HUNK
MICOS10,MICOS10,MIB2,MIB2,SSU72,SSU72,SSU72,SSU72,MIB2,MIB2,SSU72,SSU72,SSU72,SSU72,MICOS10,MICOS10,SSU72,SSU72,CDK11B,CDK11B,POU2F1,POU2F1,RLF,RLF,POU3F1,POU3F1,POU3F1,POU3F1,RLF,RLF,POU3F1,POU3F1,POU3F1,POU3F1,POU2F1,POU2F1,POU3F1,POU3F1,NFYC,NFYC,PDE9A,PDE9A,SOD1,SOD1,GRIK1,GRIK1,GRIK1,GRIK1,TIAM1,TIAM1,GRIK1,GRIK1,GRIK1,GRIK1,PDE9A,PDE9A,GRIK1,GRIK1,MIS18A,MIS18A
CAMK2N1,CAMK2N1,CDK11B,CDK11B,AL645728.1,AL645728.1,AL645728.1,AL645728.1,CDK11B,CDK11B,AL645728.1,AL645728.1,AL645728.1,AL645728.1,CAMK2N1,CAMK2N1,AL645728.1,AL645728.1,SLC35E2B,SLC35E2B,RC3H1,RC3H1,ZNF684,ZNF684,RLF,RLF,RLF,RLF,ZNF684,ZNF684,RLF,RLF,RLF,RLF,RC3H1,RC3H1,RLF,RLF,HIVEP3,HIVEP3,NDUFV3,NDUFV3,SCAF4,SCAF4,TIAM1,TIAM1,TIAM1,TIAM1,SOD1,SOD1,TIAM1,TIAM1,TIAM1,TIAM1,NDUFV3,NDUFV3,TIAM1,TIAM1,URB1,URB1
HP1BP3,HP1BP3,SLC35E2B,SLC35E2B,AL691432.2,AL691432.2,AL691432.2,AL691432.2,SLC35E2B,SLC35E2B,AL691432.2,AL691432.2,AL691432.2,AL691432.2,HP1BP3,HP1BP3,AL691432.2,AL691432.2,CDK11A,CDK11A,KDM5B,KDM5B,NFYC,NFYC,ZNF684,ZNF684,ZNF684,ZNF684,NFYC,NFYC,ZNF684,ZNF684,ZNF684,ZNF684,KDM5B,KDM5B,ZNF684,ZNF684,FOXJ3,FOXJ3,RRP1B,RRP1B,HUNK,HUNK,SOD1,SOD1,SOD1,SOD1,SCAF4,SCAF4,SOD1,SOD1,SOD1,SOD1,RRP1B,RRP1B,SOD1,SOD1,EVA1C,EVA1C
EIF4G3,EIF4G3,CDK11A,CDK11A,MIB2,MIB2,MIB2,MIB2,CDK11A,CDK11A,MIB2,MIB2,MIB2,MIB2,EIF4G3,EIF4G3,MIB2,MIB2,SLC35E2A,SLC35E2A,ESRRG,ESRRG,FOXO6,FOXO6,NFYC,NFYC,NFYC,NFYC,FOXO6,FOXO6,NFYC,NFYC,NFYC,NFYC,ESRRG,ESRRG,NFYC,NFYC,YBX1,YBX1,CSTB,CSTB,MIS18A,MIS18A,SCAF4,SCAF4,SCAF4,SCAF4,HUNK,HUNK,SCAF4,SCAF4,SCAF4,SCAF4,CSTB,CSTB,SCAF4,SCAF4,TCP10L,TCP10L
USP48,USP48,SLC35E2A,SLC35E2A,CDK11B,CDK11B,CDK11B,CDK11B,SLC35E2A,SLC35E2A,CDK11B,CDK11B,CDK11B,CDK11B,USP48,USP48,CDK11B,CDK11B,NADK,NADK,PARP1,PARP1,HIVEP3,HIVEP3,FOXO6,FOXO6,FOXO6,FOXO6,HIVEP3,HIVEP3,FOXO6,FOXO6,FOXO6,FOXO6,PARP1,PARP1,FOXO6,FOXO6,DMAP1,DMAP1,UBE2G2,UBE2G2,URB1,URB1,HUNK,HUNK,HUNK,HUNK,MIS18A,MIS18A,HUNK,HUNK,HUNK,HUNK,UBE2G2,UBE2G2,HUNK,HUNK,CFAP298,CFAP298
CDC42,CDC42,NADK,NADK,SLC35E2B,SLC35E2B,SLC35E2B,SLC35E2B,NADK,NADK,SLC35E2B,SLC35E2B,SLC35E2B,SLC35E2B,CDC42,CDC42,SLC35E2B,SLC35E2B,GNB1,GNB1,ARID4B,ARID4B,FOXJ3,FOXJ3,HIVEP3,HIVEP3,HIVEP3,HIVEP3,FOXJ3,FOXJ3,HIVEP3,HIVEP3,HIVEP3,HIVEP3,ARID4B,ARID4B,HIVEP3,HIVEP3,TOE1,TOE1,SUMO3,SUMO3,EVA1C,EVA1C,MIS18A,MIS18A,MIS18A,MIS18A,URB1,URB1,MIS18A,MIS18A,MIS18A,MIS18A,SUMO3,SUMO3,MIS18A,MIS18A,SYNJ1,SYNJ1
EPHB2,EPHB2,GNB1,GNB1,CDK11A,CDK11A,CDK11A,CDK11A,GNB1,GNB1,CDK11A,CDK11A,CDK11A,CDK11A,EPHB2,EPHB2,CDK11A,CDK11A,PRKCZ,PRKCZ,ZNF124,ZNF124,YBX1,YBX1,FOXJ3,FOXJ3,FOXJ3,FOXJ3,YBX1,YBX1,FOXJ3,FOXJ3,FOXJ3,FOXJ3,ZNF124,ZNF124,FOXJ3,FOXJ3,DMRTA2,DMRTA2,PTTG1IP,PTTG1IP,TCP10L,TCP10L,URB1,URB1,URB1,URB1,EVA1C,EVA1C,URB1,URB1,URB1,URB1,PTTG1IP,PTTG1IP,URB1,URB1,PAXBP1,PAXBP1
KDM1A,KDM1A,PRKCZ,PRKCZ,SLC35E2A,SLC35E2A,SLC35E2A,SLC35E2A,PRKCZ,PRKCZ,SLC35E2A,SLC35E2A,SLC35E2A,SLC35E2A,KDM1A,KDM1A,SLC35E2A,SLC35E2A,FAAP20,FAAP20,MYT1L,MYT1L,DMAP1,DMAP1,YBX1,YBX1,YBX1,YBX1,DMAP1,DMAP1,YBX1,YBX1,YBX1,YBX1,MYT1L,MYT1L,YBX1,YBX1,MYSM1,MYSM1,DIP2A,DIP2A,CFAP298,CFAP298,EVA1C,EVA1C,EVA1C,EVA1C,TCP10L,TCP10L,EVA1C,EVA1C,EVA1C,EVA1C,DIP2A,DIP2A,EVA1C,EVA1C,IFNAR2,IFNAR2
HNRNPR,HNRNPR,FAAP20,FAAP20,NADK,NADK,NADK,NADK,FAAP20,FAAP20,NADK,NADK,NADK,NADK,HNRNPR,HNRNPR,NADK,NADK,SKI,SKI,SOX11,SOX11,TOE1,TOE1,DMAP1,DMAP1,DMAP1,DMAP1,TOE1,TOE1,DMAP1,DMAP1,DMAP1,DMAP1,SOX11,SOX11,DMAP1,DMAP1,JUN,JUN,PRMT2,PRMT2,SYNJ1,SYNJ1,TCP10L,TCP10L,TCP10L,TCP10L,CFAP298,CFAP298,TCP10L,TCP10L,TCP10L,TCP10L,PRMT2,PRMT2,TCP10L,TCP10L,IL10RB,IL10RB
RPL11,RPL11,SKI,SKI,GNB1,GNB1,GNB1,GNB1,SKI,SKI,GNB1,GNB1,GNB1,GNB1,RPL11,RPL11,GNB1,GNB1,MORN1,MORN1,NCOA1,NCOA1,DMRTA2,DMRTA2,TOE1,TOE1,TOE1,TOE1,DMRTA2,DMRTA2,TOE1,TOE1,TOE1,TOE1,NCOA1,NCOA1,TOE1,TOE1,NFIA,NFIA,,,PAXBP1,PAXBP1,CFAP298,CFAP298,CFAP298,CFAP298,SYNJ1,SYNJ1,CFAP298,CFAP298,CFAP298,CFAP298,,,CFAP298,CFAP298,IFNAR1,IFNAR1
PITHD1,PITHD1,MORN1,MORN1,PRKCZ,PRKCZ,PRKCZ,PRKCZ,MORN1,MORN1,PRKCZ,PRKCZ,PRKCZ,PRKCZ,PITHD1,PITHD1,PRKCZ,PRKCZ,RER1,RER1,SIX3,SIX3,MYSM1,MYSM1,DMRTA2,DMRTA2,DMRTA2,DMRTA2,MYSM1,MYSM1,DMRTA2,DMRTA2,DMRTA2,DMRTA2,SIX3,SIX3,DMRTA2,DMRTA2,MIER1,MIER1,,,C21orf62,C21orf62,SYNJ1,SYNJ1,SYNJ1,SYNJ1,PAXBP1,PAXBP1,SYNJ1,SYNJ1,SYNJ1,SYNJ1,,,SYNJ1,SYNJ1,IFNGR2,IFNGR2
