IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
NRP2,PBX1,COL9A2,PDE4B,AL031985.4,SNX7,ZMYM6,DHCR24,ZNF593,RAP1GAP,OSCP1,RSRP1,COL9A2,OTUD7B,RPL5,MLLT11,SLC2A1,DHCR24,NUDC,MACO1,,ZBTB20,PROX1,RARB,NFE2L2,ZNF804A,LHX5,TRERF1,REL,PBX1,BCL11A,ZNF639,ISL1,MITF,NR6A1,ASCL1,PBX2,FOXP2,FEZF2,RC3H1,,CRYZL1,,CCT8,,SYNJ1,,CCT8,,CCT8,,SOD1,,CCT8,,TTC3,,SOD1,,BACH1
IGFBP2,POU2F1,RNF220,LRRC7,SLFNL1,AL445433.2,PABPC4,PDE4B,NUDC,EPHB2,C1orf122,SNHG12,AL603839.3,AC244033.2,AHCYL1,PSMB4,FAM183A,ANKRD13C,ATP5IF1,EYA3,,SOX2,ESRRG,FOXP1,NEUROD1,ZNF721,OTX2,SP8,OTX1,POU2F1,KCMF1,ZNF141,NEUROG1,ZBTB20,ZEB1,FOXN3,NCOA7,NRF1,MECOM,KDM5B,,ITSN1,,BACH1,,IFNAR2,,BACH1,,BACH1,,URB1,,BACH1,,DYRK1A,,SCAF4,,SCAF4
UBE2E2,DHX9,DMRTA2,NEGR1,FAM183A,PLPPR4,CCDC30,LRRC7,NKAIN1,NIPAL3,PPIE,TXLNA,FAM183A,VPS45,LMNA,FDPS,PTPRF,PLPPR4,EIF3I,DLGAP3,,JARID2,OTX1,NR3C1,PAX3,MEF2C,ESRRB,DLX6,EMX1,RC3H1,TCF7L1,THAP6,ETV1,SOX2,ZNF22,BCL11B,GLI3,HEY1,HES1,ESRRG,,ATP5PO,,TIAM1,,IL10RB,,GRIK1,,TIAM1,,SYNJ1,,GRIK1,,BRWD1,,HUNK,,HUNK
THOC7,MIR181A1HG,LINC01748,HS2ST1,RPS8,PALMD,SLC2A1,AL445433.2,EIF3I,RCAN3,YBX1,S100PBP,UQCRH,PRPF3,RALGPS2,SSR2,CCDC24,PALMD,MRPS15,C1orf216,,ID4,EMX1,FOXP4,NR1D2,ZSCAN23,ZNF75A,DLX5,TCF7L1,ESRRG,POU3F3,IRF2,BHLHE22,YEATS2,KDM2A,MEIS2,GATAD1,ZHX2,KLF3,MYT1L,,MRPS6,,SOD1,,IFNAR1,,TIAM1,,SOD1,,PAXBP1,,TIAM1,,HMGN1,,MIS18A,,SYNJ1
FRMD4B,ATP2B4,PGM1,LINC01776,MMACHC,C1orf194,CCDC24,PALMD,TEKT2,CLIC4,SVBP,CDCA8,DMRTA2,GOLPH3L,KCNT2,ARHGEF11,DMRTA2,SLC25A24,NDUFS5,AGO4,,FUBP3,TCF7L1,FOXP2,EOMES,ATF6B,CARHSP1,ZHX2,NR4A2,ZNF672,NEUROD1,NR3C1,ZFPM2,TET2,SOX5,SCAPER,ZMAT4,TET1,LEF1,MEIS1,,MORC3,,URB1,,IFNGR2,,SOD1,,SCAF4,,C21orf62,,SCAF4,,GET1,,PAXBP1,,PAXBP1
EPHA6,SOX11,ROR1,AL445433.2,SPATA6,IGSF3,SPATA6,KCND3,SH3D21,MACO1,EFCAB14,MIR3659HG,GNG12,SETDB1,CENPF,ATP1B1,AC119674.1,BCL9,PPIE,GRIK3,,ASCL1,ZEB2,HEY1,FEZF2,DLX6,ETV4,ZHX1,TBR1,MYT1L,ZNF660,ATF6B,ZFP41,TRERF1,HMGA2,THRA,ZNF16,MXI1,NEUROG2,NPAS2,,TTC3,,SYNJ1,,TMEM50B,,HUNK,,HUNK,,IFNAR2,,MIS18A,,PDE9A,,IFNAR1,,IFNAR2
BBX,LINC01122,AK4,PLPPR4,DMRTA2,NBPF15,BEND5,PTGFRN,OSCP1,STMN1,DMRTA2,AL139260.1,COL24A1,BNIPL,ENAH,KIFAP3,AL139147.1,PDE4DIP,RPS8,EPHA10,,RFX4,TBR1,MYC,ZIC1,PURG,FOXJ1,MLLT3,NEUROD1,SOX11,FEZF2,RUNX2,ZNF16,ZNF292,DACH1,ZNF428,DMRTA1,VAX1,ID4,CERS6,,DYRK1A,,PAXBP1,,GART,,URB1,,MIS18A,,IFNAR1,,URB1,,CSTB,,IFNGR2,,IL10RB
AC046134.2,BCL11A,MIER1,SLC16A1-AS1,CZIB,RNF115,CACHD1,NBPF20,MRPS15,SH3BGRL3,AC099792.1,MYCBP,NHLH2,GABPB2,TSNAX,PRRC2C,AL354949.1,PLEKHO1,PRDX1,MANEAL,,KLF12,SP3,CREM,ETV5,ZNF251,ZNF558,NCOA4,NR1D2,MEIS1,LEF1,FOXP2,NFIB,DLX6,NPAS3,ARHGAP35,LHX2,TEAD1,HMGA1,DLX1,,BRWD1,,IFNAR2,,SON,,SYNJ1,,SYNJ1,,IFNGR2,,SYNJ1,,PRMT2,,GART,,IFNAR1
PLCH1,ANTXR1,GNG12,IGSF3,TMEM59,PRKAB2,IL12RB2,GPR89A,RSPO1,CCDC28B,NFIA,ZNF684,IER5,PSMB4,RPS7,DNM3,AL513166.1,PSMD4,DMRTA2,AL139260.1,,HIF1A,NEUROD1,POU6F1,BCL6,SMAD9,ZNF441,CUX2,FEZF2,AFF3,SMARCA5,NRF1,LHX5,DLX5,ZFP36L1,,RXRA,KLF12,UNCX,DLX2,,HMGN1,,IFNAR1,,DONSON,,PAXBP1,,PAXBP1,,TMEM50B,,PAXBP1,,,,SON,,IFNGR2
NLGN1,ACTR3,GNG12-AS1,PTGFRN,TTC22,NBPF11,GNG12-AS1,RNF115,PABPC4,RBBP4,NFIA-AS2,AL451062.1,CDK18,POGZ,MBOAT2,KLHL20,AL583808.1,CKS1B,MAGOH,MACF1,,BCL11B,STAT1,SOX1,HES1,DACH1,ZNF253,SMAD9,FOXP1,NPAS2,AHRR,ZNF251,DACH1,ZNF251,NR2F2,,EMX2,SOX1,ZNF706,SP9,,GET1,,GART,,CRYZL1,,IFNAR2,,IFNAR2,,GART,,C21orf62,,,,CRYZL1,,TMEM50B
SLIT2,LRP1B,WLS,TTF2,CACHD1,AC244033.2,WLS,POLR3C,PPIE,FNDC5,CACHD1,RNF220,AC119673.2,TDRKH,ODC1,NMNAT2,TNNI3K,BCAN,HOOK1,TRIT1,,ZNF609,ZNF385D,ZFHX2,LEF1,MAZ,ZNF681,SOX1,ETV5,ZEB2,ISL1,BNC2,ZIC5,MLLT3,CARHSP1,,TUB,HIF1A,ZNF16,KLF7,,PDE9A,,SON,,ITSN1,,IL10RB,,IFNAR1,,SON,,IFNAR2,,,,ITSN1,,GART
KCNIP4,MMADHC,AL033530.1,SRGAP2C,IL12RB2,ANP32E,AL513166.1,NBPF12,MYCL,DLGAP3,LEPR,AGBL4,JMJD4,INTS3,AC096570.1,CAMSAP2,COL24A1,PBX1,CACHD1,ZSWIM5,,ZNF532,EOMES,BCL11B,NR3C2,THRA,ZNF507,ZFHX2,HES1,CERS6,ZNF311,ZNF367,ZIC2,VAX1,ZNF544,,PAX6,ZNF609,ZNF22,ZBTB20,,NDUFV3,,DONSON,,RCAN1,,IFNAR1,,IFNGR2,,DONSON,,IL10RB,,,,ATP5PO,,SON
N4BP2,RND3,AK5,SRGAP2B,GADD45A,APH1A,AL583808.1,PRKAB2,PPT1,AGO4,GNG12,NRDC,CHRM3,GATAD2B,KLHL29,KIF21B,LINC02609,ALDH9A1,SERBP1,DNAJC6,,SMARCA4,ZNF621,ZNF609,AHRR,L3MBTL4,ZSCAN5A,MEIS2,LYAR,DLX1,SRF,ZBTB43,ZNF423,TFCP2,C20orf194,,ZBTB16,ZSCAN2,EMX2,YEATS2,,RRP1B,,CRYZL1,,RUNX1,,IFNGR2,,GART,,CRYZL1,,IFNAR1,,,,MRPS6,,DONSON
LIMCH1,SP3,IFI44L,NBPF12,GNG12,MRPS21,COL24A1,BCL9,SLC2A1,GRIK3,FUBP1,RAB3B,ZBTB18,ASH1L,SLC8A1-AS1,ARL8A,CCDC18-AS1,GPR161,GNG12-AS1,SGIP1,,ZNF428,FEZF2,L3MBTL4,EGR1,ZNF114,MYBL2,SNAI3,KLF3,DLX2,SP4,TET1,LHX1,ASCL1,SMARCB1,,CREBL2,ZNF48,DRAP1,GSX2,,CSTB,,ITSN1,,DOP1B,,TMEM50B,,SON,,ITSN1,,IFNGR2,,,,DOP1B,,CRYZL1
PYURF,OLA1,LINC01362,SV2A,ADGRL2,ENSA,AC245407.2,PDE4DIP,KDM4A-AS1,EPHA10,PKN2-AS1,TTC22,HPCAL1,DAP3,SLC8A1,GNG4,BCAR3,C1orf112,WLS,AK5,,NCOA3,KLF3,ZNF521,EBF1,ZNF347,NCOA5,THRA,REST,SP3,CREB5,ATF1,PHB,ELF1,,,ZIC2,TOX3,PHB2,TET2,,SUMO3,,ATP5PO,,HLCS,,GART,,DONSON,,MRPS6,,GART,,,,MORC3,,ITSN1
GRID2,SESTD1,BARHL2,VPS45,CCN1,PRUNE1,LMX1A,SV2A,CCDC24,MANEAL,FNBP1L,AL139294.1,ATRAID,RIT1,MSH6,SOX11,PLPPR5,KLHL20,SSX2IP,NEXN,,BACH1,PRDM8,SALL3,ID4,MAFB,MAFF,STAT5B,PRDM8,SP9,NEUROD6,ELF1,ZNF558,MEIS2,,,ONECUT1,TADA2A,LHX5,EBF1,,DIP2A,,MRPS6,,TTC3,,SON,,CRYZL1,,RCAN1,,SON,,,,CHAF1B,,ATP5PO
UNC5C,PGAP1,LINC02609,GABPB2,COL24A1,MLLT11,RGS16,AC244033.2,ERI3,C1orf122,BCAR3,PDE4B,FNDC4,KHDC4,PSME4,MAPRE3,OLFM3,STX6,COL24A1,ADGRL2,,SREBF2,LEF1,ZGPAT,TCF19,BACH1,,ZNF780B,THAP9,STAT4,GLI3,ONECUT1,ZNF441,STAT5B,,,RORA,RARA,GTF3A,ZSCAN12,,PRMT2,,SLC5A3,,VPS26C,,CRYZL1,,ITSN1,,RUNX1,,DONSON,,,,TTC3,,MRPS6
SCOC,BMPR2,DR1,PIP5K1A,LMO4,GABPB2,AC119673.2,VPS45,RPS8,POU3F1,VAV3,NEGR1,MORN2,ISG20L2,CCT4,PPP1CB,ATP1A1,NMNAT2,LINC02609,AL078459.1,,,NEUROG2,GABPA,HEY2,RUNX1,,ZNF606,LEF1,KLF7,FEZF1,RFX7,JUND,ZNF552,,,LHX1,SMARCE1,ZIC2,ATF6B,,,,RCAN1,,DYRK1A,,ITSN1,,ATP5PO,,CHAF1B,,CRYZL1,,,,DYRK1A,,RCAN1
FSTL5,ADAM23,BCAR3,ILF2,LINC02609,PSMD4,LINC00467,C1orf54,GPBP1L1,SMAP2,GNAI3,ST6GALNAC5,MIR217HG,PIGM,LIMS1,SIX3,POLR3GL,NUCKS1,RPL5,DDAH1,,,SMARCA5,BACH1,UNCX,PKNOX1,,BACH1,NEUROG2,HES6,ZNF703,RORA,ZNF253,GABPA,,,ETV4,STAT5B,LHX1,TRERF1,,,,RUNX1,,BRWD1,,ATP5PO,,MRPS6,,HLCS,,ITSN1,,,,KCNJ6,,SETD4
ADCY2,EPHA4,CDC14A,GATAD2B,RPL5,PSMB4,CNIH4,TARS2,DMRTA2,RIMS3,AHCYL1,AL035409.1,ARHGAP25,ATP1A2,EPB41L5,NRXN1,LINC01138,SERTAD4,PALMD,DPYD,,,NR2F1,RUNX1,GLI3,,,PHF5A,AHRR,NR2C2,ZMAT4,MESP1,ZNF175,BACH1,,,ZNF521,SOX9,PHB,DLX6,,,,DOP1B,,HMGN1,,MRPS6,,RCAN1,,PIGP,,MRPS6,,,,BRWD1,,DOP1B
CDH12,PID1,NTNG1,KCNN3,F3,TDRKH,CDC42BPA,MLLT11,AL049637.2,SCMH1,LAMTOR5,MTF2,SUCLG1,ATF6,NCKAP5,RAB1A,KCNN3,KCNH1,OLFM3,MIR137HG,,,NEUROG1,PKNOX1,EBF2,,,SREBF2,NEUROG1,SATB1,ST18,SALL1,ZNF615,PKNOX1,,,KLF16,L3MBTL4,RFXANK,DLX5,,,,MORC3,,GET1,,SLC5A3,,SETD4,,TTC3,,SLC5A3,,,,HMGN1,,MORC3
PAM,KCNH8,S100A13,FDPS,VCAM1,GATAD2B,PGBD5,SCNM1,AC119674.1,FOXO6,NHLH2,LRRC39,ANKRD36B,NOS1AP,CCNT2,PCBP1-AS1,SEMA4A,CENPF,AHCYL1,AL445433.2,,,POU3F2,ZBED1,ZMAT4,,,SMARCA1,ZNF354A,RARB,TOX,ZNF18,ZNF580,ARX,,,ZNF554,ZNF532,ZNF580,ZNF425,,,,HLCS,,DSCAM,,RCAN1,,DOP1B,,VPS26C,,RCAN1,,,,GET1,,HLCS
PJA2,CADPS,CRABP2,ASH1L,S1PR1,RUSC1,FAM89A,VPS72,PLPP3,HIVEP3,PHGDH,AC114485.1,AC079154.1,PBX1,R3HDM1,REEP1,CRABP2,AKT3,NHLH2,PLPPR4,,,PLAGL1,,BHLHE22,,,,ID4,PCBP4,ZNF16,EZH1,,,,,ZNF558,ZNF709,TSHZ2,ZNF398,,,,TTC3,,PDE9A,,DOP1B,,MORC3,,DYRK1A,,MORC3,,,,BACE2,,TTC3
STARD4-AS1,PSMD6,NHLH1,DAP3,RHOC,ASH1L,SPRTN,AL391069.2,DAB1,RIMKLA,AC245407.2,NTNG1,MZT2A,UCK2,FMNL2,CIAO1,TAGLN2,EFCAB2,NHLH1,WDR47,,,SP8,,TRPS1,,,,PLAGL1,PBRM1,RFX3,FOXK2,,,,,JUNB,ZNF714,,TOX,,,,VPS26C,,NDUFV3,,MORC3,,CHAF1B,,KCNJ6,,TTC3,,,,SLC37A1,,VPS26C
CCDC112,FOXP1,C1orf112,GON4L,NHLH2,DAP3,CHRM3,PSMB4,PGM1,C1orf50,RIIAD1,STXBP3,ARHGAP15,TADA1,BAZ2B,ST6GAL2,KLHDC9,ALK,AC119673.2,C1orf194,,,NEUROD6,,ZNF16,,,,UNCX,YEATS2,GLIS3,ZBTB7C,,,,,NR2F6,ZNF43,,RUNX1T1,,,,DYRK1A,,PKNOX1,,TTC3,,HLCS,,ETS2,,VPS26C,,,,PDE9A,,DYRK1A
NRN1,DCBLD2,PAPPA2,PMF1,SLC22A15,UBQLN4,DRC1,POGZ,ROR1,HYI,RAB13,C1orf194,ATP5MC3,POU2F1,MARCH7,IWS1,FAM78B,MAP4K3,CNIH4,KIAA1324,,,GLI3,,LHX2,,,,NEUROD6,TET2,ZNF22,ONECUT2,,,,,IRF3,MYBL2,,TRPS1,,,,KCNJ6,,RRP1B,,VPS26C,,TTC3,,PSMG1,,DYRK1A,,,,PKNOX1,,KCNJ6
IRAK1BP1,NECTIN3-AS1,C1orf53,KIRREL1,CD101,LAMTOR2,XDH,SNX27,CACHD1,ZSWIM5,C1orf61,GSTM4,PDE1A,MPZL1,HIBCH,GAD1,RGS16,PLEKHH2,MRPL55,KCND3,,,ZNF804B,,ARID5B,,,,GLI3,ELF2,EMX2,TSHZ1,,,,,ZNF415,BACH1,,SCRT1,,,,BRWD1,,PDXK,,DYRK1A,,VPS26C,,BRWD1,,BRWD1,,,,RRP1B,,BRWD1
EPHA7,ZBTB20,LHX9,NOS1AP,NOTCH2,SMG5,GALM,TDRKH,RAVER2,MAST2,NHLH1,NBPF15,ASNSD1,NME7,HSPD1,GORASP2,RGS8,PPM1B,RHOU,LRIG2,,,FEZF1,,EGR2,,,,ZNF277,SOX4,NPAS4,ONECUT3,,,,,ZNF543,PKNOX1,,SMARCA2,,,,HMGN1,,AGPAT3,,BRWD1,,DYRK1A,,GET1,,HMGN1,,,,CSTB,,HMGN1
FUT9,TBL1XR1,BTG2,HSD17B7,AC245407.2,ISG20L2,MSH6,SNAPIN,MIER1,FAAH,Z99572.1,RNF115,SUMO1,PRRC2C,EEF1B2,SLC25A12,AL390957.1,SIX3,FAM89A,TSPAN2,,,EBF2,,EMX2,,,,ZMAT4,BACH2,HMGA2,ZNF557,,,,,ZNF586,,,RORB,,,,DSCAM,,TRAPPC10,,HMGN1,,BRWD1,,DSCAM,,GET1,,,,RRP1,,GET1
PNISR,SOX2,AC119673.2,PBX1,NHLH1,PRCC,AC007389.1,GATAD2B,IL12RB2,ELAVL4,SLC9C2,PRKAB2,EEF1B2,DNM3,HDAC4,DLX2,AL136456.1,PRKCE,TRIM67,PTGFRN,,,ST18,,EBF3,,,,E2F5,HIVEP2,GTF3A,NR2F6,,,,,TFAP2C,,,ZFP37,,,,SLC37A1,,GATD3A,,GET1,,HMGN1,,BACE2,,BACE2,,,,GATD3A,,DSCAM
GRIK2,EPHA5,PACC1,UCK2,PAPPA2,NDUFS2,ARHGAP25,ATP8B2,SERBP1,FAF1,PAPPA2,ACP6,IGFBP5,PIGC,SUMF1,ZNF804A,SYT2,MIR217HG,DISC1,NOTCH2,,,ZNF16,,PHB2,,,,ZNF706,SP8,SOX21,ZNF730,,,,,,,,PBX3,,,,PDE9A,,SUMO3,,BACE2,,GET1,,ABCG1,,ZBTB21,,,,SUMO3,,SLC37A1
AHI1,PDE5A,ATF3,AL596087.2,LHX9,ATF6,THORLNC,ADAR,GNG12,ZYG11B,RGS16,LINC01138,ECEL1,COP1,PDCD6IP,SF3B1,PPFIA4,XPO1,COA6,RNF115,,,GLIS3,,SOX5,,,,DMRTA1,SP4,ZIC2,ZNF550,,,,,,,,DNAJC1,,,,NDUFV3,,MCM3AP,,PDE9A,,ABCG1,,SLC37A1,,SLC37A1,,,,LSS,,PDE9A
AIG1,TRIM2,PROX1,KIFAP3,AC119673.2,NOS1AP,AMMECR1L,KCNN3,GNG12-AS1,DNAJC6,HMCN1,SV2A,ATP2B2,ASTN1,RPSA,GIGYF2,ADORA1,CNRIP1,GREM2,PEX11B,,,DMRTA1,,NR4A1,,,,LHX2,ZNF680,ZFP36L1,TSHZ2,,,,,,,,TET1,,,,PKNOX1,,PCNT,,NDUFV3,,SLC37A1,,NDUFV3,,PDE9A,,,,MCM3AP,,NDUFV3
HDAC9,TMEM131L,ESRRG,DNM3,LINC00467,PBX1,CCDC74B,FLAD1,LINC01707,ACADM,AC119673.2,PRPF3,ULK4,RASAL2,RPL14,KCNH8,BTG2,ANTXR1,ACP1,NBPF12,,,LHX2,,LHX5,,,,RXRA,ZNF117,BCL11B,RUNX1,,,,,,,,MXI1,,,,RRP1B,,DIP2A,,RRP1B,,PDE9A,,PKNOX1,,NDUFV3,,,,PCNT,,PKNOX1
JAZF1,FNIP2,GPATCH2,RABGAP1L,ITPKB,FAM78B,SMPD4,SCAMP3,AL354949.1,AK5,YOD1,RPRD2,TCTA,RALGPS2,SMARCC1,MAP4,SOX13,SLC9A2,RPS7,BCL9,,,EMX2,,ZNF268,,,,ZNF22,DLX6,MEIS2,ETS2,,,,,,,,VAX1,,,,PDXK,,PRMT2,,PDXK,,WDR4,,RRP1B,,PKNOX1,,,,PRMT2,,RRP1B
