,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,per
10,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",biological_process,3.334657943047601e-05,0.037896871769125505,6,277,46,"['NDUFC1', 'NDUFS5', 'NDUFA1', 'MT-ND2', 'MT-ND5', 'NDUFA7']",0.13043478260869565
11,GO:0006446,regulation of translational initiation,biological_process,4.582438149808314e-05,0.04485857130633227,5,277,30,"['EIF1', 'EIF1B', 'EIF4B', 'EIF3H', 'EIF3E']",0.16666666666666666
12,GO:1902255,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,biological_process,4.664918222400764e-05,0.04485857130633227,3,277,7,"['EIF5A', 'RPS7', 'RPL11']",0.42857142857142855
13,GO:0001732,formation of cytoplasmic translation initiation complex,biological_process,5.1210700267936885e-05,0.04572749743210565,4,277,16,"['EIF3D', 'EIF3F', 'EIF3H', 'EIF3E']",0.25
14,GO:0045727,positive regulation of translation,biological_process,5.6206443502983806e-05,0.0468424500153867,7,277,76,"['VIM', 'GCN1', 'RPL26', 'RPL5', 'EIF3D', 'RPS27L', 'EIF3E']",0.09210526315789473
15,GO:0022626,cytosolic ribosome,cellular_component,1.6755957008824117e-78,2.9859115389724576e-75,51,277,76,"['RPL21', 'RPL10A', 'RPL22', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL28', 'RPL32', 'FAU', 'RPL39', 'RPL36A', 'RPLP0', 'RPLP1', 'RPS3', 'RPS3A', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPL14', 'RPS27', 'RPS27A', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'RPL11', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.6710526315789473
16,GO:0022625,cytosolic large ribosomal subunit,cellular_component,6.405560005718238e-40,5.70735396509495e-37,29,277,59,"['RPL21', 'RPL10A', 'RPL22', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL28', 'RPL32', 'RPL39', 'RPL36A', 'RPLP0', 'RPLP1', 'RPLP2', 'RPL14', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'RPL11', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.4915254237288136
17,GO:0022627,cytosolic small ribosomal subunit,cellular_component,6.098705095511931e-36,3.622630826734087e-33,25,277,45,"['FAU', 'RPS3', 'RPS3A', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS27', 'RPS27A', 'RPS29', 'RPS27L']",0.5555555555555556
18,GO:0042788,polysomal ribosome,cellular_component,1.8475715472007707e-22,8.230931242779433e-20,16,277,31,"['RPL10A', 'RPL24', 'RPL30', 'RPL6', 'RPL32', 'RPL18', 'RPS21', 'RPS23', 'RPL8', 'EIF3H', 'RPL11', 'RPL39', 'RPS29', 'RPL36A', 'RPL18A', 'RPL19']",0.5161290322580645
19,GO:0005840,ribosome,cellular_component,1.0604130364957956e-21,3.779312062071016e-19,17,277,55,"['RPL13A', 'GCN1', 'RPL27', 'RPS3', 'RPS18', 'RPS19', 'RPS5', 'RPS11', 'RPS23', 'RPL9', 'RPS25', 'RPS27', 'RPS7', 'RPL15', 'RPS10', 'RPL36A', 'RPS13']",0.3090909090909091
20,GO:0005829,cytosol,cellular_component,8.012829791153809e-20,2.3798104479726812e-17,143,277,5384,"['RPL21', 'RPL22', 'CDKN1A', 'SPATA7', 'WSB1', 'RPL24', 'TPT1', 'RPL27', 'RPL26', 'RPL30', 'RPL28', 'RPL32', 'HIP1', 'RPL39', 'FBXL13', 'RPL36A', 'RPLP0', 'RPLP1', 'BRK1', 'RPLP2', 'GAPDH', 'RPS3', 'RPS3A', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'EIF3E', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'PFDN5', 'RPS24', 'RPS23', 'RPS25', 'RPS27', 'RPS27A', 'NDN', 'RPS29', 'TTC1', 'CHMP2A', 'PGK1', 'ST13', 'CEMIP2', 'RPL10A', 'FAU', 'AGO3', 'RPL15', 'MIF', 'NIP7', 'XRN1', 'MTMR3', 'TRIM8', 'HELZ', 'ANKRD12', 'KIF5B', 'TPI1', 'ASCC3', 'MAP1LC3B', 'NME3', 'DNAJB2', 'GCN1', 'HSPA4', 'SMYD3', 'GOLGA4', 'MOB4', 'FAM162A', 'VCP', 'SEC13', 'SMG6', 'MPG', 'IQCG', 'GPI', 'VIM', 'CDC42BPA', 'HSPA4L', 'NOP53', 'TRMT112', 'GPX4', 'ATP6V1G1', 'RPSA', 'OAZ1', 'ZNF397', 'XPC', 'RPL14', 'TRAPPC8', 'XRCC4', 'SKP1', 'AHSA1', 'TMEM87A', 'SLC2A1', 'ARF1', 'EEF1A1', 'NOSIP', 'EEF1B2', 'EEF1D', 'EEF1G', 'IGF2BP2', 'IGBP1', 'CHMP4A', 'RNH1', 'SND1', 'GUK1', 'SSU72', 'ATF7IP', 'EIF4B', 'SEC61G', 'XPNPEP3', 'MARK4', 'SEC23IP', 'CIAO2B', 'EIF5A', 'MOB1A', 'WDR73', 'FTL', 'EIF3D', 'EIF3F', 'EIF3H', 'RPL13A', 'STX16', 'PCBP2', 'ENO1', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'EP300', 'RPL8', 'RPL9', 'RPL11', 'RPL13', 'MAP3K2', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.026560178306092124
21,GO:0005925,focal adhesion,cellular_component,1.1022202895304873e-19,2.8059379370618976e-17,37,277,422,"['RPL10A', 'RPL22', 'VIM', 'RPL27', 'RPL30', 'RRAS2', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS3', 'RPS3A', 'RPS5', 'SYNE2', 'RPS7', 'RPS8', 'RPL19', 'RPS10', 'RPS11', 'NECTIN2', 'RPS13', 'RPS14', 'RPS16', 'RPS18', 'RPS19', 'RPS29', 'RPL13A', 'STX16', 'PCBP2', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'ARF1', 'RPL18', 'CYBA']",0.08767772511848342
22,GO:0070062,extracellular exosome,cellular_component,1.0760690753906275e-15,2.3969438654326224e-13,75,277,2211,"['RPL10A', 'RPL22', 'DNHD1', 'GPI', 'VIM', 'RPL24', 'TPT1', 'RPL26', 'RPL27', 'RPL30', 'RPL28', 'RRAS2', 'EEF1G', 'RPL11', 'CDC42BPA', 'IGFBP2', 'RPLP0', 'RNH1', 'SND1', 'BRK1', 'RPLP2', 'GAPDH', 'SUB1', 'RPS3', 'RPS3A', 'METRNL', 'RPS5', 'SYNE2', 'TMEM59', 'RPS8', 'MIF', 'NECTIN2', 'RPS11', 'EIF3E', 'RPS13', 'RPS14', 'GPX4', 'RPS15A', 'MOB1A', 'RPS16', 'N4BP2L2', 'RPS18', 'RPS19', 'RPS20', 'ATP6V1G1', 'RPSA', 'LGALS3BP', 'FTL', 'RPL14', 'RPS25', 'RPS27A', 'RPS29', 'EIF3H', 'ATP1A1', 'TPI1', 'ARF1', 'MBD5', 'AHSA1', 'PCBP2', 'ENO1', 'RPL3', 'CHMP2A', 'HSPA4', 'RPL5', 'PGK1', 'ST13', 'CDKL1', 'SLC2A1', 'GOLGA4', 'CEMIP2', 'VCP', 'VDAC1', 'EEF1A1', 'SEC13', 'IQCG']",0.033921302578018994
23,GO:0016020,membrane,cellular_component,6.095714394197617e-15,1.2069514500511281e-12,99,277,3460,"['RPL21', 'CNTNAP3B', 'TTYH1', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL28', 'RPL32', 'HIP1', 'RPLP0', 'RPLP2', 'GAPDH', 'CYBA', 'RPS3', 'RPS5', 'SLC39A11', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'EIF3E', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'SLC35E1', 'RPS16', 'RPS18', 'RPS19', 'RNASEK', 'RPS20', 'RPS23', 'RPS24', 'RPS27A', 'CHMP2A', 'PGK1', 'CEMIP2', 'RPL10A', 'AGO3', 'NECTIN2', 'XRN1', 'MTMR3', 'HELZ', 'KIF5B', 'ASCC3', 'SLC30A9', 'MED17', 'GCN1', 'MED13', 'ADGRA3', 'VDAC1', 'TANGO6', 'VEGFA', 'GPI', 'CACNA1A', 'RRAS2', 'SLC4A7', 'SMIM8', 'APBB2', 'RPSA', 'RPL14', 'TMBIM6', 'PRPF8', 'TMEM87A', 'LDLR', 'SLC2A1', 'LGALS3BP', 'EEF1A1', 'EEF1G', 'SND1', 'SEC61G', 'EIF5A', 'FTL', 'EIF3D', 'EIF3F', 'EIF3H', 'ATP1A1', 'CSMD1', 'RPL13A', 'STX16', 'PCBP2', 'ACAP2', 'ATP2A2', 'ENO1', 'YME1L1', 'SNRNP200', 'RPL5', 'SLC33A1', 'RPL6', 'RPL7', 'RPL8', 'AQR', 'RPL9', 'RPL11', 'RPL13', 'RPL18', 'RPL18A', 'RPL19']",0.02861271676300578
24,GO:0005737,cytoplasm,cellular_component,3.280060033528135e-14,5.845066979747136e-12,124,277,5042,"['RPL21', 'RPL22', 'CDK17', 'RPL24', 'TPT1', 'RPL27', 'RPL26', 'RPL30', 'RPL28', 'RPL32', 'HIP1', 'USP45', 'RPLP0', 'RPLP1', 'RPLP2', 'GAPDH', 'VWA8', 'RPS3', 'RPS3A', 'RPS5', 'SLC39A11', 'RPS7', 'RPS8', 'NACA', 'RPS10', 'RPS11', 'EIF3E', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'TRMT11', 'MPDZ', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'PFDN5', 'RPS24', 'RPS23', 'RPS25', 'RPS27A', 'RPS29', 'CDKL1', 'ST13', 'ARL5A', 'RPL10A', 'PJA2', 'ODF2L', 'FAU', 'AGO3', 'CDC42SE2', 'PAPOLA', 'RPL15', 'SYNE2', 'MIF', 'MTMR3', 'C1D', 'RRP7A', 'UXT', 'TAF10', 'GCN1', 'UVRAG', 'GOLGA4', 'MOB4', 'TBCA', 'VCP', 'SMG6', 'VEGFA', 'IQCG', 'CACNA1A', 'VIM', 'ISCA1', 'CDC42BPA', 'HSPA4L', 'MKNK2', 'SUN1', 'APBB2', 'RPSA', 'OAZ1', 'XPC', 'RPL14', 'TRAPPC8', 'TMBIM6', 'SKP1', 'UFM1', 'ARF1', 'EEF1A1', 'NOSIP', 'CCNG1', 'EEF1B2', 'EEF1D', 'EEF1G', 'IGF2BP2', 'IGBP1', 'CHMP4A', 'XPNPEP3', 'MARK4', 'SEC23IP', 'CIAO2B', 'EIF5A', 'MOB1A', 'MPLKIP', 'FTL', 'EIF1', 'RPL13A', 'STX16', 'PCBP2', 'ENO1', 'RPL3', 'ULK2', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'RPL11', 'RPL13', 'MAP3K2', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.02459341531138437
25,GO:0015935,small ribosomal subunit,cellular_component,1.858854055679726e-12,3.011343570201156e-10,9,277,20,"['RPS16', 'RPS18', 'RPS20', 'RPS21', 'RPS24', 'RPS25', 'FAU', 'RPS27A', 'RPS29']",0.45
26,GO:0045202,synapse,cellular_component,1.0644854704525597e-10,1.580760923622051e-08,27,277,454,"['TTYH1', 'CACNA1A', 'RPL24', 'RPL26', 'RPL27', 'RPL28', 'SDK2', 'RPS3A', 'RPS7', 'RPS11', 'XRN1', 'APBB2', 'RPS16', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'EIF3D', 'RPS27A', 'EIF3F', 'LY6H', 'RPL13A', 'RPL3', 'VDAC1', 'RPL13', 'RPL15', 'RPL19']",0.05947136563876652
27,GO:0014069,postsynaptic density,cellular_component,1.6298850518467392e-10,2.2341962787622225e-08,20,277,247,"['PJA2', 'RPL30', 'RPLP0', 'RPS3', 'MT-ND2', 'EIF3E', 'RPS13', 'RPS14', 'MPDZ', 'RPS18', 'RPS19', 'RPL14', 'RPS25', 'RPS27', 'ATP1A1', 'PCBP2', 'RPL6', 'RPL7', 'RPL8', 'ARF1']",0.08097165991902834
28,GO:0005730,nucleolus,cellular_component,1.5433162778860014e-09,1.964421147994896e-07,36,277,1342,"['CDKN1A', 'ZMAT3', 'RPL26', 'RPL27', 'RPL11', 'SUB1', 'RPS3', 'RPS3A', 'NOP53', 'RPL18', 'RPS7', 'NIP7', 'RPS10', 'RPS11', 'RPS13', 'RPS14', 'MOB1A', 'C1D', 'RRP7A', 'NOL7', 'RPS19', 'COX7A2L', 'ZNF397', 'XPC', 'RPS25', 'RPS27A', 'RPL13A', 'RPL3', 'RPL5', 'RPL7', 'CEMIP2', 'TBCA', 'RPL13', 'EEF1A1', 'SMG6', 'RPL19']",0.026825633383010434
29,GO:1990904,ribonucleoprotein complex,cellular_component,1.830531089883292e-09,2.174670934781351e-07,16,277,176,"['SECISBP2L', 'RPL13A', 'RPL22', 'GAPDH', 'PCBP2', 'VIM', 'RPL26', 'RPL27', 'RPS3', 'RPS3A', 'RPL5', 'RPS5', 'RPL7', 'RPS7', 'RPS8', 'RPLP0']",0.09090909090909091
30,GO:0005654,nucleoplasm,cellular_component,3.802616198685055e-08,4.23516379128548e-06,90,277,3862,"['CDKN1A', 'SPATA7', 'TPT1', 'RPL27', 'RPL26', 'NR2F6', 'USP45', 'KDM4C', 'RPS3', 'RPS3A', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'RPS12', 'EIF3E', 'RPS14', 'RPS13', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'NDN', 'RPS27', 'RPS27A', 'RPS29', 'CDKL1', 'FAU', 'AGO3', 'PAPOLA', 'SUB1', 'SUPT5H', 'MORF4L1', 'SYNE2', 'MIF', 'NIP7', 'AEBP2', 'C1D', 'RRP7A', 'ANKRD12', 'UXT', 'ASCC3', 'MED17', 'TAF10', 'MED13', 'SMYD3', 'GOLGA4', 'VCP', 'SEC13', 'MPG', 'PCNP', 'GPI', 'MED10', 'NOP53', 'TRMT112', 'MKNK2', 'RPSA', 'XPC', 'XRCC4', 'PRPF8', 'SKP1', 'NOSIP', 'CCNG1', 'CCNH', 'ZMAT3', 'EEF1D', 'ZNF24', 'GTF2H2', 'RNH1', 'SSU72', 'ATF7IP', 'CIAO2B', 'MOB1A', 'SLTM', 'MPLKIP', 'MBD5', 'PCBP2', 'SNRNP200', 'RPL5', 'EP300', 'AQR', 'AFF4', 'RPL11', 'MAP3K2']",0.02330398757120663
31,GO:0016282,eukaryotic 43S preinitiation complex,cellular_component,6.111407322787802e-08,6.406192852475213e-06,6,277,17,"['EIF1', 'EIF1B', 'EIF3D', 'EIF3F', 'EIF3H', 'EIF3E']",0.35294117647058826
32,GO:0005634,nucleus,cellular_component,5.117845560436184e-07,5.0666671048318216e-05,113,277,5632,"['RPL22', 'CDKN1A', 'CDK17', 'TPT1', 'RPL27', 'RPL30', 'NR2F6', 'HIP1', 'USP45', 'RPLP0', 'GAPDH', 'KDM4C', 'RPS3', 'RPS3A', 'SLC39A11', 'RPS7', 'NACA', 'RPS8', 'EIF3E', 'RPS13', 'RPS18', 'PFDN5', 'RPS24', 'RPS25', 'NDN', 'RPS27', 'RPS27A', 'ZNF226', 'CDKL1', 'RPL10A', 'SINHCAF', 'PAPOLA', 'SUB1', 'SUPT5H', 'SYNE2', 'XRN1', 'TRIM8', 'BRI3', 'C1D', 'N4BP2L2', 'HELZ', 'HFM1', 'UXT', 'TPI1', 'ASCC3', 'SLC30A9', 'MED17', 'TAF10', 'DNAJB2', 'HSPA4', 'MED13', 'SMYD3', 'VCP', 'VDAC1', 'SMG6', 'PCNP', 'CACNA1A', 'MED10', 'FEZF2', 'HSPA4L', 'RTF2', 'MKNK2', 'GPX4', 'APBB2', 'RPSA', 'OAZ1', 'XPC', 'BRMS1L', 'XRCC4', 'TMBIM6', 'PRPF8', 'SKP1', 'UFM1', 'RPS27L', 'EEF1A1', 'NOSIP', 'CCNG1', 'CCNH', 'ZBTB44', 'EEF1D', 'EEF1G', 'IGF2BP2', 'ZNF24', 'GTF2H2', 'GPBP1L1', 'CHMP4A', 'SND1', 'ATF7IP', 'CIAO2B', 'EIF5A', 'MOB1A', 'SLTM', 'CHCHD2', 'MPLKIP', 'ZNF91', 'MBD5', 'EIF1', 'RPL13A', 'PCBP2', 'ENO1', 'RPL3', 'SNRNP200', 'RPL5', 'RPL6', 'RPL7', 'EP300', 'AQR', 'RPL9', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'CYBA']",0.020063920454545456
33,GO:0005853,eukaryotic translation elongation factor 1 complex,cellular_component,9.51860227333202e-06,0.00089274469742514,3,277,4,"['EEF1D', 'EEF1A1', 'EEF1B2']",0.75
34,GO:0033290,eukaryotic 48S preinitiation complex,cellular_component,3.881768440757426e-05,0.0032939577911570155,4,277,15,"['EIF3D', 'EIF3F', 'EIF3H', 'EIF3E']",0.26666666666666666
35,GO:0005852,eukaryotic translation initiation factor 3 complex,cellular_component,3.881768440757426e-05,0.0032939577911570155,4,277,15,"['EIF3D', 'EIF3F', 'EIF3H', 'EIF3E']",0.26666666666666666
36,GO:0005747,mitochondrial respiratory chain complex I,cellular_component,4.813214374827617e-05,0.0038987036436103698,6,277,49,"['NDUFC1', 'NDUFS5', 'NDUFA1', 'MT-ND2', 'MT-ND5', 'NDUFA7']",0.12244897959183673
37,GO:0071541,"eukaryotic translation initiation factor 3 complex, eIF3m",cellular_component,8.082331899420408e-05,0.006262050193377029,3,277,7,"['EIF3D', 'EIF3F', 'EIF3H']",0.42857142857142855
38,GO:0005783,endoplasmic reticulum,cellular_component,0.00016796310957515893,0.012471260885955552,30,277,1076,"['RPL21', 'RPL24', 'EEF1B2', 'RRAS2', 'EEF1D', 'EEF1G', 'SELENOK', 'FAF2', 'RPL36A', 'RPLP0', 'RPS3', 'RPS3A', 'RPS8', 'SEC23IP', 'KDELR1', 'APBB2', 'RPS23', 'RPS24', 'SARAF', 'ATP1A1', 'SLC30A9', 'TMBIM6', 'AHSA1', 'ATP2A2', 'UVRAG', 'RPL5', 'UFM1', 'VCP', 'RPL13', 'RPL18']",0.027881040892193308
39,GO:0003735,structural constituent of ribosome,molecular_function,2.9592071042508724e-63,1.3420004217777706e-59,55,277,176,"['RPL21', 'RPL10A', 'RPL22', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL28', 'RPL32', 'FAU', 'RPL39', 'RPL36A', 'RPL13', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS3', 'RPS3A', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPL14', 'RPS27', 'RPS27A', 'RPS29', 'NDUFA7', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'RPL11', 'RPS27L', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.3125
40,GO:0003723,RNA binding,molecular_function,1.4114791920152268e-38,3.2005290678945266e-35,91,277,1411,"['RPL21', 'SECISBP2L', 'RPL22', 'RPL24', 'TPT1', 'RPL27', 'RPL26', 'RPL30', 'RPL28', 'RPL32', 'RPL39', 'RPL36A', 'RPLP0', 'RPS3', 'RPS3A', 'EIF1B', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'EIF3E', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS27', 'RPS27A', 'RPL10A', 'FAU', 'AGO3', 'PAPOLA', 'SUB1', 'SUPT5H', 'NIP7', 'XRN1', 'C1D', 'HELZ', 'RRP7A', 'NOL7', 'ASCC3', 'GCN1', 'TBCA', 'VCP', 'PRRC2B', 'SMG6', 'NOP53', 'RPSA', 'RPL14', 'PRPF8', 'ARF1', 'RPS27L', 'EEF1A1', 'NOSIP', 'ZMAT3', 'IGF2BP2', 'GPBP1L1', 'SND1', 'EIF4B', 'SEC23IP', 'EIF5A', 'SLTM', 'EIF3D', 'EIF3H', 'EIF1', 'RPL13A', 'PCBP2', 'ENO1', 'RPL3', 'SNRNP200', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'AQR', 'RPL9', 'RPL11', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.06449326718639263
