,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,per
23,GO:0072562,blood microparticle,cellular_component,8.58296503937634e-06,0.006921896986920599,3,8,142,"['HSPA1B', 'HSPA6', 'HSPA1A']",0.02112676056338028
24,GO:1904813,ficolin-1-rich granule lumen,cellular_component,1.165302523050606e-05,0.006921896986920599,3,8,124,"['HSPA1B', 'HSPA6', 'HSPA1A']",0.024193548387096774
25,GO:0005814,centriole,cellular_component,2.2742395478585667e-05,0.008900966328602041,3,8,158,"['HSPA1B', 'HSPA6', 'HSPA1A']",0.0189873417721519
26,GO:0016234,inclusion body,cellular_component,2.4974652998322226e-05,0.008900966328602041,2,8,20,"['HSPA1B', 'HSPA1A']",0.1
27,GO:0051082,unfolded protein binding,molecular_function,2.5076686284052284e-10,1.137227722981771e-06,5,8,124,"['CRYAB', 'HSPA1A', 'HSPA1B', 'DNAJB1', 'HSPA6']",0.04032258064516129
28,GO:0044183,protein folding chaperone,molecular_function,1.3802222271811722e-09,3.1296539001333077e-06,4,8,47,"['HSPA1B', 'DNAJB1', 'HSPA6', 'HSPA1A']",0.0851063829787234
29,GO:0051787,misfolded protein binding,molecular_function,1.2527126561144216e-07,0.0001893683965159634,3,8,29,"['HSPA1B', 'HSPA6', 'HSPA1A']",0.10344827586206896
30,GO:0140662,ATP-dependent protein folding chaperone,molecular_function,1.8952774387803906e-07,0.00021487707962172678,3,8,41,"['HSPA1B', 'HSPA6', 'HSPA1A']",0.07317073170731707
31,GO:0031072,heat shock protein binding,molecular_function,1.054593035188067e-06,0.0009565158829155767,3,8,57,"['HSPA1B', 'HSPA6', 'HSPA1A']",0.05263157894736842
32,GO:0055131,C3HC4-type RING finger domain binding,molecular_function,1.977050761504665e-06,0.0012808464576319508,2,8,6,"['HSPA1B', 'HSPA1A']",0.3333333333333333
33,GO:0140545,ATP-dependent protein disaggregase activity,molecular_function,1.977050761504665e-06,0.0012808464576319508,2,8,6,"['HSPA1B', 'HSPA1A']",0.3333333333333333
34,GO:0140416,transcription regulator inhibitor activity,molecular_function,3.6250797437909224e-05,0.02054967079761479,2,8,24,"['DNAJB1', 'HSPA1A']",0.08333333333333333
