,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,per
10,GO:0042274,ribosomal small subunit biogenesis,biological_process,4.356055826519443e-07,0.00041888502990245814,10,1276,23,"['RPS15', 'NPM1', 'RPS17', 'RPS19', 'RPS6', 'RPS24', 'RPS25', 'RPS7', 'RPS28', 'RPS9']",0.43478260869565216
11,GO:0048013,ephrin receptor signaling pathway,biological_process,1.2954900745717455e-06,0.0011567801015872421,14,1276,50,"['EPHB2', 'RASA1', 'PAK1', 'FYN', 'ARHGEF7', 'EPHA7', 'CDK5R1', 'PTK2', 'SIPA1L1', 'PTPN11', 'NCK2', 'EPHA3', 'EPHA5', 'EFNB3']",0.28
12,GO:0045893,positive regulation of DNA-templated transcription,biological_process,1.8880643499973723e-06,0.0015397752095956637,76,1276,698,"['TRERF1', 'SOX4', 'CNBP', 'NPM1', 'WBP2', 'LHX1', 'SOX11', 'RGMB', 'JUN', 'TCF4', 'ARL2BP', 'EDF1', 'ERBB4', 'TCF3', 'ZFP90', 'ILF3', 'YAF2', 'SRA1', 'VPS72', 'UBE2V1', 'CTCF', 'RBBP4', 'FEZF1', 'GLI3', 'ATF7IP', 'ZNF423', 'BRD4', 'MORF4L1', 'ZNF516', 'RSF1', 'BRD7', 'ARID5B', 'BUD31', 'TBL1X', 'PLCB1', 'SMARCA4', 'SMARCC1', 'NCOA1', 'BIRC2', 'KMT2A', 'SMARCE1', 'ELF2', 'CHD8', 'CHD3', 'CHD4', 'LHX5', 'TSG101', 'CTNNB1', 'CHURC1', 'MED1', 'TRIM13', 'MED17', 'ARID1A', 'KMT2E', 'TAF9', 'TAF10', 'F2R', 'TBL1XR1', 'TRRAP', 'RFX3', 'TRIP11', 'KAT6B', 'RBM23', 'PICALM', 'TRIM44', 'THRAP3', 'PHIP', 'ENY2', 'CREB5', 'SF3B5', 'XRCC6', 'NR2F2', 'TP53BP1', 'SMAD2', 'ZIC2', 'FBXW11']",0.10888252148997135
13,GO:1904667,negative regulation of ubiquitin protein ligase activity,biological_process,2.0655671199532026e-06,0.0015397752095956637,7,1276,12,"['RPS15', 'RPL23', 'RPL5', 'RPS20', 'RPL11', 'RPL37', 'RPS7']",0.5833333333333334
14,GO:0032981,mitochondrial respiratory chain complex I assembly,biological_process,2.09392677090843e-06,0.0015397752095956637,15,1276,59,"['NDUFB4', 'NDUFB5', 'NDUFB8', 'NDUFA3', 'NDUFB10', 'NDUFC1', 'NDUFS4', 'NDUFS5', 'NDUFA2', 'MT-ND2', 'NDUFA5', 'NDUFAF3', 'MT-ND5', 'DMAC2', 'NDUFA6']",0.2542372881355932
15,GO:0045333,cellular respiration,biological_process,3.3313513818696073e-06,0.0023136235347084423,12,1276,41,"['COX7A2', 'UQCR10', 'COX7B', 'COX7C', 'UQCRC2', 'COX4I1', 'COX5B', 'NDUFS4', 'UQCRB', 'UQCRC1', 'NDUFA4', 'UQCR11']",0.2926829268292683
16,GO:2000781,positive regulation of double-strand break repair,biological_process,4.445620315725223e-06,0.0029249841877305796,12,1276,41,"['ARID1A', 'SMARCA4', 'SMARCB1', 'SLF2', 'SMARCC1', 'FMN2', 'SPIRE1', 'SMARCE1', 'ARID2', 'PBRM1', 'SPIDR', 'BRD7']",0.2926829268292683
17,GO:0006337,nucleosome disassembly,biological_process,8.641877088895667e-06,0.005401605274414237,8,1276,19,"['ARID1A', 'SMARCA4', 'SMARCB1', 'SMARCC1', 'SMARCE1', 'ARID2', 'SET', 'SUPT16H']",0.42105263157894735
18,GO:0021766,hippocampus development,biological_process,9.355071950610501e-06,0.005568940688313422,15,1276,66,"['EZH2', 'CASP3', 'UBA6', 'FEZ1', 'ATP2B4', 'GLI3', 'TENT2', 'CDK5R1', 'RELN', 'XRN2', 'PAFAH1B1', 'LHX5', 'IGF1R', 'SRD5A1', 'EPHA5']",0.22727272727272727
19,GO:0050821,protein stabilization,biological_process,1.4967184223168825e-05,0.008098063509979325,30,1276,214,"['SOX4', 'RPL23', 'CCNH', 'NPM1', 'CCT5', 'GAPDH', 'SUMO1', 'ATF7IP', 'PARK7', 'RTN4', 'RPS7', 'LAMP1', 'CCT7', 'PFDN2', 'PFDN5', 'UXT', 'CTNND1', 'PTEN', 'TAF9', 'FLOT1', 'PPIB', 'PTGES3', 'TRIM44', 'RPL5', 'BAG6', 'VBP1', 'MTMR9', 'RPL11', 'STX12', 'TBL1X']",0.14018691588785046
20,GO:0045944,positive regulation of transcription by RNA polymerase II,biological_process,1.510242416177699e-05,0.008098063509979325,109,1276,1175,"['TRERF1', 'SOX4', 'ZNF410', 'WBP2', 'SOX11', 'DHX36', 'KLF12', 'ZNF143', 'ZNF148', 'ARID4B', 'GPBP1', 'BCAS3', 'BCLAF1', 'PARK7', 'ITGB1BP1', 'RSF1', 'NCL', 'SSBP2', 'PFKM', 'HMGN3', 'MECP2', 'MEIS2', 'HNRNPU', 'DHX9', 'PTMA', 'EBF2', 'ZNF462', 'PTMS', 'BPTF', 'KMT2C', 'JUN', 'JUND', 'STOX2', 'TCERG1', 'GLI3', 'ATAD2B', 'PKD2', 'MYDGF', 'NUCKS1', 'NHLH2', 'KMT2A', 'CHD6', 'MED17', 'TAF9', 'TET3', 'NIPBL', 'PID1', 'AP3D1', 'THRAP3', 'PHIP', 'MAML3', 'MRTFA', 'CREB3', 'NCK2', 'TBL1X', 'NCOA2', 'NPM1', 'TCEA1', 'TCF4', 'TCF3', 'SMARCA5', 'ZEB1', 'YBX1', 'GPS2', 'ZNF407', 'CHD8', 'CHD7', 'MLLT10', 'DRAP1', 'MED1', 'SIX3', 'AP3B1', 'TBL1XR1', 'RFX3', 'NR2F1', 'NR2F2', 'ZFX', 'CNBP', 'BCL11B', 'GTF2I', 'ZNF33A', 'KLF7', 'LMO2', 'BRD4', 'RTRAF', 'EIF5A', 'HLTF', 'SMARCA4', 'CHCHD2', 'SMARCC1', 'NCOA1', 'SMARCB1', 'CD81', 'CTBP2', 'TNKS', 'PRKD1', 'ZNF580', 'SUMO2', 'PRKDC', 'MAML2', 'CTNNB1', 'ZNF91', 'KAT6B', 'PCBP1', 'ST18', 'XRCC6', 'TP53BP1', 'SMAD2', 'HDGF']",0.09276595744680852
21,GO:0031116,positive regulation of microtubule polymerization,biological_process,1.5547038176106216e-05,0.008098063509979325,9,1276,26,"['PAK1', 'CDKN1B', 'CLASP1', 'SLAIN2', 'DCTN1', 'RPS3', 'SLAIN1', 'CDK5R1', 'RAC1']",0.34615384615384615
22,GO:0031023,microtubule organizing center organization,biological_process,1.965583722746421e-05,0.009450677737712696,6,1276,11,"['CLASP1', 'MPDZ', 'BCAS3', 'CLASP2', 'PAFAH1B1', 'FBXW11']",0.5454545454545454
23,GO:0070934,CRD-mediated mRNA stabilization,biological_process,1.965583722746421e-05,0.009450677737712696,6,1276,11,"['CSDE1', 'YBX1', 'IGF2BP3', 'IGF2BP2', 'HNRNPU', 'DHX9']",0.5454545454545454
24,GO:0042273,ribosomal large subunit biogenesis,biological_process,2.6674903371575115e-05,0.012350480261039277,10,1276,34,"['NPM1', 'RPL26', 'RPL5', 'RPL26L1', 'RPL7', 'RSL24D1', 'RPL14', 'RPL35A', 'RPL11', 'GTF3A']",0.29411764705882354
25,GO:1902600,proton transmembrane transport,biological_process,2.9957674552134258e-05,0.013375031770579656,21,1276,130,"['ATP5F1D', 'SLC25A3', 'ATP5PB', 'ATP5MC2', 'ATP5MC3', 'ATP5MG', 'ATP5ME', 'ATP6V1C1', 'ATP6V0B', 'COX4I1', 'COX5B', 'ATP6V1D', 'SLC4A10', 'COX7B', 'COX7A2L', 'ATP6V1F', 'RNASEK', 'UQCRC1', 'UQCRFS1', 'UQCR10', 'ATP5F1C']",0.16153846153846155
26,GO:0071481,cellular response to X-ray,biological_process,3.7246107334975234e-05,0.01605564095843191,6,1276,12,"['XRCC5', 'NUCKS1', 'NIPBL', 'XRCC6', 'TP53BP1', 'CCND2']",0.5
27,GO:0007411,axon guidance,biological_process,4.4760976207742184e-05,0.018125111534300957,26,1276,176,"['EPHB2', 'SEMA3A', 'SEMA3D', 'RELN', 'CDK5R1', 'NEO1', 'EFNB3', 'KLF7', 'DRAXIN', 'TRIO', 'FEZ1', 'FEZF1', 'GLI3', 'ROBO2', 'SIAH1', 'EXT1', 'SEMA6A', 'KIF5B', 'KIF5C', 'FYN', 'CDH4', 'PALLD', 'PTK2', 'EPHA3', 'EPHA5', 'EPHA7']",0.14772727272727273
28,GO:0045663,positive regulation of myoblast differentiation,biological_process,4.4946680870596726e-05,0.018125111534300957,11,1276,44,"['ARID1A', 'SOX4', 'PLCB1', 'SMARCA4', 'SMARCB1', 'SMARCC1', 'SMARCE1', 'ARID2', 'RIPOR2', 'PBRM1', 'BRD7']",0.25
29,GO:0006325,chromatin organization,biological_process,4.8594604682558185e-05,0.018983786035520624,30,1276,221,"['ZNF462', 'HDAC9', 'UIMC1', 'RSBN1', 'KMT2C', 'C17orf49', 'TOX', 'KMT5B', 'MORF4L1', 'HDAC8', 'EHMT1', 'NUCKS1', 'CBX1', 'PHF14', 'CBX4', 'BRD1', 'KMT2E', 'EZH2', 'TBL1XR1', 'TRRAP', 'L3MBTL3', 'HMGN4', 'TET3', 'HMGN3', 'HDAC7', 'BAG6', 'BANF1', 'ENY2', 'PHF21A', 'HNRNPU']",0.13574660633484162
30,GO:0006511,ubiquitin-dependent protein catabolic process,biological_process,5.546245306637921e-05,0.020298778448520852,33,1276,253,"['NEDD8', 'USP34', 'RNF130', 'UBE2R2', 'RNF7', 'TRPC4AP', 'UBE2D1', 'UBE2D2', 'UBQLN1', 'UBE2L6', 'UBE2G1', 'RNF5', 'STUB1', 'UBE2H', 'UBE2I', 'RNF19A', 'USP11', 'RNF146', 'MIB1', 'UBA6', 'ANAPC11', 'UBE2S', 'FBXO11', 'SIAH1', 'PSMD11', 'PSMD13', 'ARIH1', 'USP15', 'FBXO21', 'TRIP12', 'BAG6', 'USP47', 'RBX1']",0.13043478260869565
31,GO:0070979,protein K11-linked ubiquitination,biological_process,5.683203309321094e-05,0.020298778448520852,9,1276,30,"['UBE2H', 'CDC27', 'ANAPC11', 'ANAPC5', 'UBE2S', 'UBE2E3', 'UBE2W', 'ANAPC13', 'UBE2D3']",0.3
32,GO:0000209,protein polyubiquitination,biological_process,6.09907968735728e-05,0.020483253922753814,25,1276,169,"['MKRN3', 'UBE2R2', 'UBE2D1', 'UBE2D2', 'UBE2D3', 'UBE2L6', 'UBE2G1', 'UBE2H', 'STUB1', 'UBE2V1', 'RNF19A', 'KLHL42', 'BIRC2', 'UBE2S', 'PELI1', 'TNKS', 'BCL2', 'CTNNB1', 'ARIH1', 'SKP1', 'TRIP12', 'UBE2E3', 'UBE2W', 'RBX1', 'FBXW11']",0.14792899408284024
33,GO:0006413,translational initiation,biological_process,6.165074066575095e-05,0.020483253922753814,12,1276,52,"['EIF1', 'EIF2A', 'EIF3L', 'EIF3E', 'RPS17', 'RPS3', 'RPS3A', 'EIF1B', 'EIF3A', 'EIF3G', 'EIF3J', 'EIF4G2']",0.23076923076923078
34,GO:0006364,rRNA processing,biological_process,6.231849161368721e-05,0.020483253922753814,19,1276,115,"['RPL26', 'RPL27', 'XRN2', 'RPL35A', 'PA2G4', 'RPS6', 'FRG1', 'RPS7', 'RPS15', 'RPS17', 'RPS19', 'CHD7', 'RPL14', 'RPS24', 'RPS25', 'RPS28', 'RPL5', 'RPL7', 'RPL11']",0.16521739130434782
35,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process,6.554116925927146e-05,0.020483253922753814,6,1276,14,"['UQCR10', 'UQCRB', 'UQCRC1', 'UQCRC2', 'UQCRFS1', 'UQCR11']",0.42857142857142855
36,GO:0010458,exit from mitosis,biological_process,6.554116925927146e-05,0.020483253922753814,6,1276,13,"['PPP2R2D', 'CLASP1', 'RPL24', 'UBE2S', 'CHMP2A', 'CLASP2']",0.46153846153846156
37,GO:0070316,regulation of G0 to G1 transition,biological_process,8.852779586138577e-05,0.02682614508654021,8,1276,25,"['ARID1A', 'SMARCA4', 'SMARCB1', 'SMARCC1', 'SMARCE1', 'ARID2', 'PBRM1', 'BRD7']",0.32
38,GO:0044829,positive regulation by host of viral genome replication,biological_process,9.227455713312767e-05,0.02682614508654021,5,1276,9,"['VAPA', 'NUCKS1', 'PPIB', 'YTHDC2', 'EEF1A1']",0.5555555555555556
39,GO:1904936,interneuron migration,biological_process,9.227455713312767e-05,0.02682614508654021,5,1276,9,"['FEZF1', 'RELN', 'FAT3', 'NR2F2', 'PAFAH1B1']",0.5555555555555556
40,GO:0001764,neuron migration,biological_process,9.570844599843585e-05,0.027192074623328333,18,1276,107,"['EMX2', 'RHOA', 'SEMA3A', 'FYN', 'GPM6A', 'CDKL5', 'MARK1', 'DCLK1', 'RELN', 'CDK5R1', 'NEO1', 'PCM1', 'TOP2B', 'RAC1', 'PAFAH1B1', 'CTNNB1', 'RAPGEF2', 'SH3RF1']",0.16822429906542055
41,GO:0000028,ribosomal small subunit assembly,biological_process,0.00010868488662837271,0.029982051049605482,6,1276,15,"['RPS14', 'RPS15', 'MRPS7', 'RPS19', 'RPSA', 'RPS28']",0.4
42,GO:0016241,regulation of macroautophagy,biological_process,0.00011032512185279996,0.029982051049605482,12,1276,55,"['CASP3', 'GAPDH', 'ATP6V1G1', 'ATP6V1C1', 'CDK5R1', 'ATP6V0B', 'ATP6V1G2', 'ATP6V1D', 'RHEB', 'UBQLN1', 'EXOC4', 'MAPK8']",0.21818181818181817
43,GO:0070936,protein K48-linked ubiquitination,biological_process,0.00012569206792810352,0.033431415769557916,13,1276,64,"['RNF5', 'UBE2H', 'SKP1', 'CUL1', 'UBE2D2', 'PELI1', 'UBE2E3', 'UBE2R2', 'RNF146', 'UBE2D1', 'RBX1', 'UBE2D3', 'UBE2G1']",0.203125
44,GO:0046907,intracellular transport,biological_process,0.00012944004375208568,0.03371104139468381,9,1276,33,"['RAB14', 'AP3B1', 'RAB7A', 'FMN2', 'SPIRE1', 'BBS7', 'AP3D1', 'BLOC1S6', 'TMEM167A']",0.2727272727272727
45,GO:0007049,cell cycle,biological_process,0.0001338957282746862,0.03415980610534392,36,1276,298,"['PCNP', 'CCNH', 'CDKN2D', 'RALA', 'TXNL4A', 'RACK1', 'ERH', 'FAM32A', 'ARL8B', 'RBBP4', 'CSNK1A1', 'DUSP1', 'MAEA', 'INSM1', 'MARK4', 'SSNA1', 'BRD7', 'KLHL42', 'DYNC1LI1', 'SMARCB1', 'CENPV', 'SIAH1', 'ANAPC16', 'TSG101', 'GNAI3', 'MAPK1', 'RB1CC1', 'KMT2E', 'FIGN', 'ANAPC5', 'PRPF40A', 'YTHDF2', 'EPB41', 'WTAP', 'ANAPC13', 'HNRNPU']",0.12080536912751678
46,GO:0036211,protein modification process,biological_process,0.00013681288335458237,0.03420595709631269,15,1276,82,"['UBE2I', 'AP3B1', 'NEDD8', 'UBE2S', 'FBXO11', 'UBA52', 'UBE2M', 'CSNK1G3', 'CPE', 'PPP4R2', 'RIMKLB', 'PRKDC', 'UBE2D2', 'UBE2D3', 'UBE2L6']",0.18292682926829268
47,GO:2000819,regulation of nucleotide-excision repair,biological_process,0.0001626147515229067,0.03974506968006373,8,1276,27,"['ARID1A', 'SMARCA4', 'SMARCB1', 'SMARCC1', 'SMARCE1', 'ARID2', 'PBRM1', 'BRD7']",0.2962962962962963
48,GO:2000767,positive regulation of cytoplasmic translation,biological_process,0.00017165801235232808,0.03974506968006373,6,1276,15,"['CNBP', 'CSDE1', 'YBX1', 'DHX36', 'HNRNPU', 'DHX9']",0.4
49,GO:0097250,mitochondrial respirasome assembly,biological_process,0.0001751185463015283,0.03974506968006373,5,1276,11,"['RAB5IF', 'COX7A2', 'HIGD1A', 'COX7A2L', 'HIGD2A']",0.45454545454545453
50,GO:0051252,regulation of RNA metabolic process,biological_process,0.0001751185463015283,0.03974506968006373,5,1276,10,"['RASA1', 'PCBP4', 'PCBP1', 'IGF2BP3', 'IGF2BP2']",0.5
51,GO:0043087,regulation of GTPase activity,biological_process,0.00018100133555595436,0.03974506968006373,15,1276,84,"['RASA2', 'CBLB', 'RDX', 'RICTOR', 'PLXNA2', 'VAV3', 'PTK2', 'SIPA1L1', 'ITGB1BP1', 'ARHGAP12', 'PAFAH1B1', 'SBF2', 'EPHA3', 'NF1', 'EPHA5']",0.17857142857142858
52,GO:0017148,negative regulation of translation,biological_process,0.00018122301989949863,0.03974506968006373,14,1276,77,"['RPL13A', 'GAPDH', 'YBX1', 'DHX36', 'EIF2AK3', 'CAPRIN1', 'RPS3', 'PAIP2', 'IGF2BP3', 'IGF2BP2', 'NCL', 'FXR1', 'ILF3', 'RACK1']",0.18181818181818182
53,GO:1902255,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,biological_process,0.0001984876480154085,0.04278093254897623,4,1276,7,"['EIF5A', 'RPS7', 'UBB', 'RPL11']",0.5714285714285714
54,GO:0007186,G protein-coupled receptor signaling pathway,biological_process,5.277452430437066e-13,1.6493358208223443e-09,12,1276,924,"['ADGRL2', 'PLCB1', 'F2R', 'ARHGEF12', 'RGS7BP', 'CALM3', 'CHRM2', 'FZD3', 'RGS12', 'GRK3', 'ADGRA3', 'RAPGEF2']",0.012987012987012988
56,GO:0006955,immune response,biological_process,5.681818891574076e-05,0.020298778448520852,4,1276,427,"['IGF1R', 'ITGB8', 'CBLB', 'FTH1']",0.00936768149882904
58,GO:0022626,cytosolic ribosome,cellular_component,1.8531071847234868e-67,3.3022370031772534e-64,65,1276,76,"['RPL21', 'RPL22', 'RPL23', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL36', 'RPL32', 'UBA52', 'RPL34', 'FAU', 'RPL35A', 'RPL37', 'RPL37A', 'RPL38', 'RPL39', 'RPL36A', 'RPLP0', 'RPLP1', 'RPS2', 'RPS3', 'RPS3A', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS17', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPL14', 'RPS24', 'RPS25', 'RPL35', 'RPS27A', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL10', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.8552631578947368
59,GO:0022625,cytosolic large ribosomal subunit,cellular_component,3.2526831032330174e-48,2.898140644980618e-45,47,1276,59,"['RPL21', 'RPL22', 'RPL23', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL36', 'RPL32', 'UBA52', 'RPL34', 'RPL35A', 'RPL36AL', 'RPL37', 'RPL37A', 'RPL38', 'RPL39', 'RPL36A', 'RPLP0', 'RPLP1', 'RPL7L1', 'RPLP2', 'RPL26L1', 'ZCCHC17', 'RPL14', 'RPL35', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL10', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.7966101694915254
