,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes
10,GO:0005635,nuclear envelope,cellular_component,1.9710998994920176e-05,0.0038896371349975813,10,203,191,"['AKAP6', 'PARP6', 'RNF180', 'ELAVL4', 'MTMR6', 'ITSN1', 'PRKCZ', 'IPO9', 'INSR', 'DST']"
11,GO:0098685,Schaffer collateral - CA1 synapse,cellular_component,4.0292974519058325e-05,0.007156032274584759,7,203,94,"['APBA1', 'PFN2', 'CACNG2', 'PRKCZ', 'LRRC4C', 'INA', 'BSN']"
12,GO:0098839,postsynaptic density membrane,cellular_component,5.268298785664498e-05,0.008118259987407965,7,203,98,"['CACNG2', 'SORCS3', 'LRFN5', 'ERBB4', 'GRIK3', 'CACNG8', 'LRRC4C']"
13,GO:0030425,dendrite,cellular_component,5.48531080230268e-05,0.008118259987407965,14,203,407,"['CPEB3', 'MAP1A', 'DYRK1A', 'KIF21B', 'MAPT', 'EPHB1', 'RTN1', 'ELAVL4', 'KIRREL3', 'CDK5R1', 'ATCAY', 'GRIK3', 'LHFPL4', 'BSN']"
14,GO:0098793,presynapse,cellular_component,0.00010200660277771146,0.013935671271785813,8,203,146,"['PFN2', 'TNIK', 'SYNJ1', 'DNM3', 'CDK5R1', 'ATCAY', 'ITSN1', 'SEPTIN3']"
15,GO:0043197,dendritic spine,cellular_component,0.00013494838659073904,0.017119166756082327,8,203,152,"['APBA1', 'DNM3', 'MAPT', 'LZTS1', 'DGKI', 'CDK5R1', 'SEZ6', 'APP']"
16,GO:0043204,perikaryon,cellular_component,0.00016144212758374088,0.01911474790591492,8,203,156,"['PDE9A', 'SHTN1', 'ASTN1', 'ELAVL4', 'GRIK3', 'CDK5R1', 'CRMP1', 'APP']"
17,GO:0042734,presynaptic membrane,cellular_component,0.00024288246292952618,0.026959953385177406,7,203,125,"['NRXN1', 'SYT1', 'KCNJ3', 'ERBB4', 'GRIK3', 'ITSN1', 'ATP1A3']"
18,GO:0005737,cytoplasm,cellular_component,0.0003290644817026778,0.03437755997082093,71,203,4957,"['AKAP6', 'DPF1', 'SOX4', 'TNIK', 'RND3', 'GAD1', 'BICDL1', 'AKT3', 'HSPA12A', 'EXOC5', 'TAOK3', 'CDK5R1', 'GDAP1L1', 'MTMR7', 'CORO2B', 'MTMR6', 'TRIM2', 'IPO9', 'DST', 'INA', 'REEP1', 'MAP1A', 'RCAN1', 'MAPT', 'LZTS1', 'STXBP5L', 'RIMKLA', 'SRGAP1', 'ATCAY', 'GRK5', 'ITSN1', 'MCM3AP', 'PAK5', 'MTSS1', 'KSR2', 'APBA1', 'CPEB3', 'STMN2', 'PKNOX1', 'HLCS', 'DYRK1A', 'SNTG1', 'DNM3', 'SYT1', 'CCT8', 'PRMT2', 'DAPK1', 'SRPK2', 'HMGN1', 'POU2F2', 'DGKI', 'PPP1R18', 'ELAVL4', 'DLK1', 'PLCL1', 'PRKCZ', 'OLA1', 'HERC1', 'APP', 'ARHGEF2', 'PFN2', 'ZC4H2', 'SHTN1', 'GLCCI1', 'DYNC1I2', 'FGD3', 'KLC1', 'SENP7', 'ARL4D', 'PROX1', 'HSPA13']"
19,GO:0044306,neuron projection terminus,cellular_component,0.0004799906138926488,0.04735907390407468,3,203,16,"['SYT1', 'MACO1', 'BSN']"
20,GO:0043198,dendritic shaft,cellular_component,0.0005193424714922072,0.048544854177376834,4,203,38,"['MAP1A', 'SEZ6', 'APP', 'KIRREL3']"
