name,shared name,type,avgExpression,highestCluster
NPPA,NPPA,None,0.0263049735790423,nEN_1
KIAA2013,KIAA2013,None,-0.0023503303011806,nIN
PLOD1,PLOD1,None,-0.272031840074272,IPC
MFN2,MFN2,None,0.104022523648813,nIN_1
MIIP,MIIP,None,-0.171301688898668,nIN_1
VPS13D,VPS13D,NeuroDisease,0.0190544734461034,nIN_1
DHRS3,DHRS3,None,0.770255022932909,IN_2
PDPN,PDPN,None,0.447722804117897,IN_1
PRDM2,PRDM2,None,-0.0340257222536247,nIN_1
KAZN,KAZN,None,0.196521919179986,RG
AL357873.1,AL357873.1,None,-0.354969244218028,IPC
KAZN-AS1,KAZN-AS1,None,-0.186160386517233,nIN
AL031293.1,AL031293.1,None,0.158702838667712,IPC
FHAD1,FHAD1,None,-0.253925435676553,IN_2
EFHD2,EFHD2,None,0.0393897991482088,nIN
CASP9,CASP9,None,-0.241362266827262,nIN
DNAJC16,DNAJC16,None,0.247028522945056,nEN_1
DDI2,DDI2,None,-0.239538755098192,nIN_1
PLEKHM2,PLEKHM2,None,-0.0418944765457266,nIN_1
FBLIM1,FBLIM1,None,-0.0832287330647974,RG
UQCRHL,UQCRHL,None,-0.944204494429615,nEN_1
AL450998.2,AL450998.2,None,-0.152613768236232,IN_1
SPEN,SPEN,NeuroDisease,0.0962782640301277,IN_2
ZBTB17,ZBTB17,GeneralTF,-0.165445052323815,nIN_1
EPHA2,EPHA2,NeuroDev,-1.15064503252897,nIN_1
FBXO42,FBXO42,None,0.183667179719216,RG
SZRD1,SZRD1,None,-0.206572672013122,nIN_1
SPATA21,SPATA21,None,-0.14027790363734,nIN_1
NECAP2,NECAP2,None,-0.0251073791488774,MGE
AL137802.2,AL137802.2,None,-0.0498119135347539,nIN_1
NBPF1,NBPF1,None,0.170881078622583,IPC
CROCC,CROCC,None,-0.0790641089567379,nIN
MFAP2,MFAP2,None,-0.318756367425282,nIN
AL049569.1,AL049569.1,None,-0.493248069228689,nIN_1
ATP13A2,ATP13A2,None,-0.0135710429635678,nIN_1
SDHB,SDHB,None,-0.0136361077056077,nIN_1
RCC2,RCC2,None,-0.0482436792882347,nEN_1
ARHGEF10L,ARHGEF10L,None,0.158747148272339,nEN_1
IGSF21,IGSF21,NeuroDev,-0.398379112855568,MGE
IFFO2,IFFO2,None,-0.217660529728713,nIN
UBR4,UBR4,None,-0.0958725734201762,nIN_1
EMC1-AS1,EMC1-AS1,None,-0.0716524511392902,nIN
EMC1,EMC1,NeuroDisease,0.0346467434066247,nIN_1
MRTO4,MRTO4,None,-0.163464329898292,IPC
AKR7A2,AKR7A2,None,-0.152158976107673,nEN_1
CAPZB,CAPZB,None,-0.0661960949102521,IN
MICOS10,MICOS10,None,-0.165350151600508,nEN
NBL1,NBL1,NeuroDev,0.531957680168595,nIN_1
OTUD3,OTUD3,None,-0.219991803601801,nIN_1
CAMK2N1,CAMK2N1,None,-0.0182172325045653,MGE
MUL1,MUL1,None,-0.0892128931883511,IN
PINK1,PINK1,None,-0.103550123670836,nEN
DDOST,DDOST,NeuroDisease,-0.197168776399769,nEN
KIF17,KIF17,None,-0.246079043829381,nIN_1
HP1BP3,HP1BP3,GeneralTF,0.0105654184270158,IN_1
EIF4G3,EIF4G3,None,0.130497218295805,RG
ECE1,ECE1,NeuroDev,-0.0045267480648063,IN
NBPF3,NBPF3,None,-0.157347053677199,nIN
ALPL,ALPL,None,0.385921905715802,nIN_1
RAP1GAP,RAP1GAP,None,0.526504139290593,nIN_1
USP48,USP48,None,0.0411513834811172,nIN_1
CDC42,CDC42,NeuroDisease,0.135178991776851,nIN_1
CDC42-AS1,CDC42-AS1,None,0.530045303335668,IN
WNT4,WNT4,NeuroDev,0.205242694791674,nIN_1
ZBTB40,ZBTB40,GeneralTF,0.160957202880118,nIN_1
EPHB2,EPHB2,NeuroDev,0.0542251162952999,MGE
KDM1A,KDM1A,NeuroDisease,-0.0369517855835835,IN
AL031428.1,AL031428.1,None,-0.377289922033887,nIN_1
LUZP1,LUZP1,NeuroDev,-0.329918222937774,nIN_1
LINC01355,LINC01355,None,-0.0481787717244164,nEN_1
HNRNPR,HNRNPR,NeuroDisease,-0.0215376161186053,nIN
ZNF436,ZNF436,GeneralTF,0.0501597010272783,nEN_1
ZNF436-AS1,ZNF436-AS1,None,-0.306633013530815,IN_1
ASAP3,ASAP3,GeneralTF,0.154413717663221,nEN_1
E2F2,E2F2,GeneralTF,0.567772234709127,nIN
ID3,ID3,NeuroDev,-2.01152545492935,nIN_1
RPL11,RPL11,None,-0.267879636065191,nIN_1
ELOA-AS1,ELOA-AS1,None,-0.210962032520247,nIN
ELOA,ELOA,None,-0.0930517568584642,nEN_1
PITHD1,PITHD1,None,0.0075050653337475,nIN_1
LYPLA2,LYPLA2,NeuroDev,-0.077080267910276,RG
GALE,GALE,NeuroDisease,-0.191220464196404,IN
HMGCL,HMGCL,NeuroDisease,-0.242082169441335,nIN
FUCA1,FUCA1,NeuroDisease,0.0197837642737054,IN
PNRC2,PNRC2,None,-0.286551860135137,IN_2
SRSF10,SRSF10,None,-0.0176527080873375,nEN_1
NIPAL3,NIPAL3,None,0.237812391141022,nIN
RCAN3,RCAN3,None,0.427381542076443,nIN_1
SRRM1,SRRM1,None,0.0550192964558035,nEN_1
CLIC4,CLIC4,None,0.123980323987112,MGE
SYF2,SYF2,None,-0.0881573746306509,IN
RSRP1,RSRP1,None,0.137695566167801,nEN_1
RHD,RHD,None,0.296498760259819,nIN_1
TMEM50A,TMEM50A,None,-0.168876323101524,nEN_1
RHCE,RHCE,None,0.106188827848788,RG
MACO1,MACO1,NeuroDev,0.172724133445862,MGE
MAN1C1,MAN1C1,None,-0.778910041130895,IN_2
SELENON,SELENON,None,0.0489167358256912,IN_1
MTFR1L,MTFR1L,None,-0.145795124966319,IPC
AUNIP,AUNIP,None,-0.439505576873474,nIN
STMN1,STMN1,NeuroDev,0.303686427539572,MGE
PDIK1L,PDIK1L,None,0.0776757551124401,nIN_1
ZNF593,ZNF593,None,-0.423177725185109,nEN_1
CNKSR1,CNKSR1,NeuroDisease,-0.2677673986066,nIN_1
CEP85,CEP85,None,-0.16304611344268,nIN_1
SH3BGRL3,SH3BGRL3,None,0.0267481573593387,MGE
UBXN11,UBXN11,None,-0.446391889650506,nIN
DHDDS,DHDDS,NeuroDisease,0.051289458024489,RG
AL513365.2,AL513365.2,None,0.102658206619164,nEN_1
HMGN2,HMGN2,None,0.121671340988483,nIN
RPS6KA1,RPS6KA1,None,-0.158160735182795,nIN_1
ARID1A,ARID1A,NeuroDisease,0.155696685105836,nIN
ZDHHC18,ZDHHC18,None,0.0511088359205133,nIN_1
GPN2,GPN2,None,-0.256452576382633,nIN_1
GPATCH3,GPATCH3,None,-0.264984615940791,nEN_1
NUDC,NUDC,None,-0.290654550729443,nIN_1
TRNP1,TRNP1,NeuroDev,-0.748059302092482,nIN_1
SLC9A1,SLC9A1,None,-0.377680307754042,nEN_1
WDTC1,WDTC1,None,0.0430450710444828,RG
TMEM222,TMEM222,None,0.123251507506738,nEN_1
WASF2,WASF2,None,-0.166879889473707,nIN_1
AHDC1,AHDC1,NeuroDisease,0.11785548282987,nIN_1
IFI6,IFI6,None,-0.13876155036468,nEN
FAM76A,FAM76A,None,0.0963235203356693,nIN_1
STX12,STX12,None,0.092660852865025,nIN_1
PPP1R8,PPP1R8,None,-0.0439886708365273,nIN_1
RPA2,RPA2,None,0.0071916984429527,nIN_1
EYA3,EYA3,None,0.0686902236607802,nIN_1
DNAJC8,DNAJC8,None,-0.0722395368762956,nEN_1
ATP5IF1,ATP5IF1,None,-0.114382051342569,RG
SESN2,SESN2,None,-0.356030706750705,IPC
MED18,MED18,None,-0.299266755826841,IN
PHACTR4,PHACTR4,NeuroDev,0.0931580600998893,nEN
RCC1,RCC1,None,-0.352792633508853,nIN_1
SNHG3,SNHG3,None,0.136266184137454,nIN_1
TRNAU1AP,TRNAU1AP,None,0.0958943720014241,nIN_1
SNHG12,SNHG12,None,0.126109752311714,nEN_1
TAF12,TAF12,None,0.0100923609881741,nIN
GMEB1,GMEB1,GeneralTF,0.0926387329157777,nIN_1
YTHDF2,YTHDF2,None,-0.0879675495309105,IN
EPB41,EPB41,None,-0.254015451151749,IPC
SRSF4,SRSF4,None,-0.0541773806069792,IPC
MECR,MECR,None,-0.179281034176207,IPC
PTPRU,PTPRU,None,-0.883592904655428,nIN_1
MATN1,MATN1,None,1.11113905955793,IPC
SDC3,SDC3,None,-0.228145525200343,IN_2
PUM1,PUM1,NeuroDisease,-0.0218707679840713,nIN_1
NKAIN1,NKAIN1,None,-0.224119173607863,MGE
SNRNP40,SNRNP40,None,-0.0387803457785758,nEN_1
ZCCHC17,ZCCHC17,GeneralTF,-0.227830532601448,nIN
AL451070.1,AL451070.1,None,0.13555459116853,nIN_1
FABP3,FABP3,None,0.0694356591205041,nIN_1
SERINC2,SERINC2,None,-0.309163053999141,nIN
PEF1,PEF1,None,-0.130302784448458,IN
ADGRB2,ADGRB2,NeuroDev,0.208810176569408,nIN_1
AL136115.2,AL136115.2,None,-0.533300630064937,IPC
PTP4A2,PTP4A2,None,-0.0065275423683137,IN_1
KHDRBS1,KHDRBS1,None,0.041006776469391,IN_1
AL445248.1,AL445248.1,None,-0.165915109582633,nIN_1
TMEM39B,TMEM39B,None,0.132739783044386,MGE
KPNA6,KPNA6,None,0.0489762982165382,IN_2
TXLNA,TXLNA,None,-0.0156173678072368,nEN_1
CCDC28B,CCDC28B,None,0.172024848525098,IPC
TMEM234,TMEM234,None,-0.322506129281296,nIN
EIF3I,EIF3I,None,-0.132643312883838,RG
HDAC1,HDAC1,NeuroDev,-0.403865420498788,nIN_1
MARCKSL1,MARCKSL1,NeuroDev,0.115436647205366,nIN_1
FAM229A,FAM229A,None,-0.247597413054131,IN_1
BSDC1,BSDC1,None,0.0247440600005845,nIN_1
ZBTB8B,ZBTB8B,GeneralTF,0.202013064957986,IN_1
ZBTB8A,ZBTB8A,None,0.0873272273019982,IN_2
ZBTB8OS,ZBTB8OS,None,-0.10300388791443,nIN_1
RBBP4,RBBP4,NeuroDev,0.0546575881811891,MGE
SYNC,SYNC,None,0.0247185325496744,nIN_1
KIAA1522,KIAA1522,None,-0.229170658412204,IN_1
YARS,YARS,None,-0.0983063598484889,IN
S100PBP,S100PBP,None,-0.0564802723139532,nIN_1
FNDC5,FNDC5,None,-0.243460626677096,MGE
HPCA,HPCA,NeuroDev,0.308962219941909,IN
RNF19B,RNF19B,None,0.36139555048549,IN_2
AL020995.1,AL020995.1,None,0.157111151602146,nIN_1
AK2,AK2,None,-0.183648061523792,IN_1
AZIN2,AZIN2,None,-0.293371796701002,MGE
TRIM62,TRIM62,None,-0.0703827406425425,IN
ZNF362,ZNF362,GeneralTF,0.202594975793642,nIN_1
AL513327.1,AL513327.1,None,-0.0117594227780327,nIN_1
PHC2,PHC2,None,0.0440492856809549,IN_2
AL513327.2,AL513327.2,None,-0.114542869598055,nIN_1
CSMD2,CSMD2,None,0.951678804320376,nIN_1
SMIM12,SMIM12,None,-0.177712272234789,nEN_1
DLGAP3,DLGAP3,None,0.465530547136804,RG
ZMYM6,ZMYM6,None,-0.271863808825355,nIN
ZMYM1,ZMYM1,None,0.120276887065651,IN_2
SFPQ,SFPQ,GeneralTF,-0.100303314023013,IN_1
ZMYM4,ZMYM4,None,0.139934621967146,IN_1
ZMYM4-AS1,ZMYM4-AS1,None,0.111452000426689,nIN_1
KIAA0319L,KIAA0319L,NeuroDev,0.0658569208830874,nIN
NCDN,NCDN,NeuroDev,0.132456167898636,nIN_1
TFAP2E,TFAP2E,GeneralTF,-0.352246589503294,nIN
PSMB2,PSMB2,None,-0.0763708264674758,RG
C1orf216,C1orf216,None,0.63485165191459,nIN
CLSPN,CLSPN,None,-0.206652866120961,nIN_1
AGO4,AGO4,None,0.340551482553296,nIN_1
AGO1,AGO1,NeuroDisease,-0.0893992238438397,nIN_1
AGO3,AGO3,None,0.0516802806181658,RG
AL138787.2,AL138787.2,None,-0.105041686287074,nIN_1
TEKT2,TEKT2,None,-0.413088674511166,nIN_1
ADPRHL2,ADPRHL2,None,0.0406214444873439,nEN_1
TRAPPC3,TRAPPC3,None,-0.0715893884461531,MGE
MAP7D1,MAP7D1,None,0.0468434507321737,nIN_1
THRAP3,THRAP3,None,-0.0621235603871973,nIN_1
SH3D21,SH3D21,None,-0.633788559002647,nIN_1
STK40,STK40,None,-0.120715274151336,IN
LSM10,LSM10,None,-0.277360685456116,nIN_1
OSCP1,OSCP1,None,-0.486090249402982,nEN_1
MRPS15,MRPS15,None,-0.254724689725529,nEN_1
GRIK3,GRIK3,None,0.606985121329768,MGE
LINC01137,LINC01137,None,0.0409969189421643,IN_2
MEAF6,MEAF6,None,-0.0340984659528649,nIN_1
SNIP1,SNIP1,None,-0.134382869057744,IN
DNALI1,DNALI1,None,-0.330596309041392,IN_1
GNL2,GNL2,None,0.0709669918345046,nIN
RSPO1,RSPO1,None,-2.04601143401597,nIN_1
C1orf109,C1orf109,None,0.0400094963754864,nIN_1
CDCA8,CDCA8,None,0.0658907856059949,nEN_1
EPHA10,EPHA10,NeuroDev,0.493311091273454,MGE
MANEAL,MANEAL,None,0.279677141723733,MGE
YRDC,YRDC,None,-0.179046909974025,nIN
C1orf122,C1orf122,None,-0.101455109610591,nEN_1
MTF1,MTF1,NeuroDev,-0.0634668586191394,MGE
INPP5B,INPP5B,None,-0.207985178534204,nIN_1
SF3A3,SF3A3,None,-0.0427710100451716,IN
FHL3,FHL3,None,-0.13957867092707,nIN
UTP11,UTP11,NeuroDev,-0.0151273677699588,nEN_1
POU3F1,POU3F1,NeuroDev,0.358379807021367,MGE
MIR3659HG,MIR3659HG,None,0.34796208253126,nEN_1
RRAGC,RRAGC,None,0.0590796188760179,nIN_1
AL139260.1,AL139260.1,None,0.132550006502344,nIN_1
MYCBP,MYCBP,None,-0.087176734800246,nIN_1
RHBDL2,RHBDL2,None,-0.176862159070859,nIN_1
AKIRIN1,AKIRIN1,None,-0.174627583545296,IN
NDUFS5,NDUFS5,None,-0.282924018270913,RG
MACF1,MACF1,NeuroDisease,0.0616246661924008,nIN_1
PABPC4,PABPC4,None,-0.265053927694652,IPC
HPCAL4,HPCAL4,NeuroDev,-0.218387830742014,nIN
PPIE,PPIE,None,-0.462075579662596,nEN_1
TRIT1,TRIT1,NeuroDisease,0.190543112164969,RG
MYCL,MYCL,GeneralTF,0.0172545146065541,MGE
MFSD2A,MFSD2A,NeuroDisease,-0.055684939363892,nIN_1
CAP1,CAP1,None,0.0222757424547568,nIN
PPT1,PPT1,NeuroDisease,-0.0853537004458616,MGE
RLF,RLF,GeneralTF,0.201666337818597,nEN_1
AL050341.2,AL050341.2,None,0.185912059021552,IPC
ZMPSTE24,ZMPSTE24,None,0.0090842171329822,nEN_1
COL9A2,COL9A2,None,-0.737097630254491,IN_2
SMAP2,SMAP2,GeneralTF,0.034376708519024,MGE
AL031985.4,AL031985.4,None,-0.645685521019507,IN
ZFP69B,ZFP69B,GeneralTF,0.259542392412984,nIN_1
AL603839.3,AL603839.3,None,-0.730496586821045,nIN_1
EXO5,EXO5,GeneralTF,-0.338447250409067,IPC
ZNF684,ZNF684,GeneralTF,-0.0840340266691283,nIN_1
RIMS3,RIMS3,None,0.159942956673144,MGE
NFYC,NFYC,GeneralTF,0.159484652468518,IN_1
CITED4,CITED4,None,-0.514176386029856,IN_1
CTPS1,CTPS1,None,-0.0710977765915268,nIN_1
SLFNL1-AS1,SLFNL1-AS1,None,-0.203003959901079,nIN_1
SLFNL1,SLFNL1,None,-0.353318735724408,IN
SCMH1,SCMH1,GeneralTF,0.076758028326778,nIN_1
FOXO6,FOXO6,GeneralTF,0.260913259399611,MGE
HIVEP3,HIVEP3,NeuroDisease,0.134553010358262,nIN_1
FOXJ3,FOXJ3,GeneralTF,0.127964465743885,nIN
RIMKLA,RIMKLA,None,0.70208577613433,nIN_1
PPCS,PPCS,None,-0.122452152696623,nEN
CCDC30,CCDC30,None,-0.297167711732867,nIN_1
PPIH,PPIH,None,-0.0372730873161082,nIN
YBX1,YBX1,GeneralTF,-0.0993529502217044,nEN_1
P3H1,P3H1,None,0.0676564327099314,nIN_1
C1orf50,C1orf50,None,0.230730548316318,MGE
TMEM269,TMEM269,None,0.0729000723922047,nIN_1
SVBP,SVBP,NeuroDisease,-0.0960532569126471,nEN_1
SLC2A1,SLC2A1,NeuroDisease,-0.4077211424914,nIN_1
SLC2A1-AS1,SLC2A1-AS1,None,-0.246663929700603,nIN_1
FAM183A,FAM183A,None,-1.83814328824687,IN_2
EBNA1BP2,EBNA1BP2,None,-0.114924025090732,MGE
CDC20,CDC20,NeuroDev,-0.313628708095844,IN
MED8,MED8,None,-0.0318194291084345,IN_2
SZT2,SZT2,NeuroDisease,0.255828697703541,nIN_1
HYI,HYI,None,0.359023264490151,MGE
PTPRF,PTPRF,NeuroDev,-0.219265616090046,IN_1
KDM4A,KDM4A,GeneralTF,-0.0757683794859969,nIN_1
KDM4A-AS1,KDM4A-AS1,None,-0.339643222050941,MGE
ST3GAL3,ST3GAL3,NeuroDisease,-0.0367472712674118,nEN_1
AL451062.1,AL451062.1,None,0.101169600572199,nIN_1
IPO13,IPO13,None,-0.005855546181863,nIN_1
ATP6V0B,ATP6V0B,None,-0.0480346961997,nEN
B4GALT2,B4GALT2,NeuroDev,-0.177758669849548,RG
CCDC24,CCDC24,None,-0.73585845354754,IPC
SLC6A9,SLC6A9,NeuroDisease,-0.293178485777651,IN
AL139220.2,AL139220.2,None,0.0283572848725347,nIN_1
DMAP1,DMAP1,GeneralTF,0.0847117413785805,nIN
ERI3,ERI3,None,-0.0859484180129728,MGE
RNF220,RNF220,NeuroDev,-0.371964347891283,IN_2
TMEM53,TMEM53,None,-0.205381328689362,IN_1
ARMH1,ARMH1,None,0.0480518483759295,IN
KIF2C,KIF2C,None,-0.120106083110645,IN_2
RPS8,RPS8,None,-0.262869465667888,MGE
PLK3,PLK3,None,0.11730679282574,MGE
PTCH2,PTCH2,None,0.0877005407898413,IPC
EIF2B3,EIF2B3,NeuroDev,0.0654891353015468,nEN
HECTD3,HECTD3,None,0.0467494214216392,nIN_1
UROD,UROD,None,-0.178873702961961,IN
ZSWIM5,ZSWIM5,None,0.280054797141106,MGE
MUTYH,MUTYH,None,-0.063096228576279,nIN_1
TOE1,TOE1,NeuroDisease,-0.137581411252836,nEN_1
TESK2,TESK2,None,0.497958278141379,nIN_1
MMACHC,MMACHC,NeuroDisease,-0.45572439779999,IN
PRDX1,PRDX1,None,-0.307034641986145,nIN_1
AKR1A1,AKR1A1,GeneralTF,0.0967906662640028,IPC
NASP,NASP,None,-0.0744536031351297,nIN_1
GPBP1L1,GPBP1L1,None,-0.042991046198078,nIN_1
TMEM69,TMEM69,None,0.100205468021413,IPC
IPP,IPP,NeuroDisease,-0.157784719495505,nIN_1
MAST2,MAST2,None,0.181059021249195,MGE
PIK3R3,PIK3R3,None,-0.008880953942902,IN_1
POMGNT1,POMGNT1,NeuroDisease,0.187189609367927,IN
RAD54L,RAD54L,None,-0.171829184588335,nEN_1
LRRC41,LRRC41,None,0.0129674733395807,nIN_1
UQCRH,UQCRH,None,-0.0605825693138737,nEN
NSUN4,NSUN4,None,0.432151692293761,nIN_1
FAAH,FAAH,None,0.365891917698694,nIN_1
MKNK1,MKNK1,None,0.25802033138183,nIN_1
ATPAF1,ATPAF1,None,0.149575162596606,IN_1
EFCAB14,EFCAB14,None,-0.162689685669135,nEN_1
STIL,STIL,NeuroDisease,0.0106227314103783,nIN_1
CMPK1,CMPK1,None,-0.0238234931538233,MGE
SPATA6,SPATA6,None,-0.583966394690177,IN_1
AGBL4,AGBL4,NeuroDev,1.06269812070763,nEN_1
BEND5,BEND5,None,-0.130666596263464,IPC
ELAVL4,ELAVL4,NeuroDev,0.574464258082109,MGE
DMRTA2,DMRTA2,NeuroDev,-2.3884505058005,IN_2
AL049637.2,AL049637.2,None,-1.93708029150986,MGE
FAF1,FAF1,None,0.0743789585130737,MGE
CDKN2C,CDKN2C,NeuroDev,0.306790735850173,IN
RNF11,RNF11,None,0.0738863498526632,IN_2
EPS15,EPS15,None,-0.0056628089899884,nIN
OSBPL9,OSBPL9,None,-0.106231953556362,nIN_1
NRDC,NRDC,None,0.117755097273118,nEN_1
RAB3B,RAB3B,None,-0.0913348224456084,nIN
TXNDC12,TXNDC12,None,-0.110328299285523,nIN
KTI12,KTI12,None,0.022100940057641,IN_1
BTF3L4,BTF3L4,None,0.0916914176976156,IN_1
ZFYVE9,ZFYVE9,None,0.0184666139841176,nIN_1
CC2D1B,CC2D1B,None,-0.135062787133687,nIN_1
ORC1,ORC1,NeuroDisease,0.147028460179513,nIN_1
PRPF38A,PRPF38A,None,0.210697961690189,nEN_1
TUT4,TUT4,None,-0.0865735317524831,nIN_1
GPX7,GPX7,None,-0.12148642790907,nIN_1
COA7,COA7,None,-0.0128489285287117,nIN
ZYG11B,ZYG11B,None,0.118206011753035,MGE
ECHDC2,ECHDC2,None,-0.470130446553157,nIN_1
