IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
LIMCH1,RND3,AL033530.1,IGSF3,TTC22,ASH1L,WLS,BCL9,CCDC24,STMN1,CACHD1,LRRC39,MORN2,DAP3,KLHL29,KIF21B,CRABP2,MGAT5,GNG12-AS1,EPHA10,,ZNF609,TBR1,FOXP2,FEZF2,PKNOX1,MYBL2,MEIS2,NEUROD1,CERS6,FEZF1,ONECUT1,NFIB,TFCP2,ZFP36L1,,ZBTB16,SOX9,DRAP1,DLX2,,MRPS6,,TIAM1,,SON,,PAXBP1,,SOD1,,IFNAR2,,SCAF4,,BRWD1,,PAXBP1,,PAXBP1
PYURF,SP3,LINC02609,PTGFRN,IL12RB2,PRCC,AL583808.1,SV2A,RPS8,SH3BGRL3,GNG12,NTNG1,MIR217HG,PIGM,SLC8A1-AS1,ARL8A,TAGLN2,MCM6,WLS,MANEAL,,ZNF532,SP3,CREM,ZIC1,,NCOA5,SNAI3,FEZF2,DLX1,ZMAT4,RFX7,LHX5,ASCL1,CARHSP1,,ONECUT1,L3MBTL4,PHB2,SP9,,MORC3,,SOD1,,CRYZL1,,IL10RB,,SCAF4,,IFNAR1,,MIS18A,,HMGN1,,IFNAR1,,IFNAR2
GRID2,SESTD1,DR1,TTF2,GADD45A,NDUFS2,COL24A1,AC244033.2,DMRTA2,RBBP4,BCAR3,STXBP3,ARHGAP25,ATP1A2,SLC8A1,GNG4,KLHDC9,CXCR4,COL24A1,AL139260.1,,BACH1,NEUROD1,BCL11B,ETV5,,,BACH1,ETV5,DLX2,ST18,RORA,DACH1,ELF1,ZNF544,,RORA,ZNF709,LHX5,ZBTB20,,TTC3,,URB1,,ITSN1,,IFNAR1,,HUNK,,IFNGR2,,URB1,,GET1,,SON,,IFNAR1
UNC5C,PGAP1,BCAR3,SRGAP2B,GNG12,ATF6,AC119673.2,VPS45,AL049637.2,FNDC5,VAV3,C1orf194,ANKRD36B,NOS1AP,PSME4,SOX11,FAM78B,DYNC1I2,RPL5,ZSWIM5,,,STAT1,ZNF609,HES1,,,PHF5A,HES1,SP3,TOX,MESP1,ZIC5,GABPA,SMARCB1,,ZNF521,ZNF714,ZIC2,YEATS2,,DYRK1A,,PAXBP1,,RCAN1,,IFNGR2,,SYNJ1,,TMEM50B,,SYNJ1,,CSTB,,CRYZL1,,IFNGR2
FSTL5,ADAM23,CDC14A,GABPB2,ADGRL2,NOS1AP,SPRTN,C1orf54,DAB1,DLGAP3,GNAI3,NBPF15,MZT2A,PBX1,LIMS1,MAPRE3,ADORA1,HAT1,OLFM3,SGIP1,,,EOMES,L3MBTL4,LEF1,,,SREBF2,KLF3,SP9,ZNF16,SALL1,ZIC2,BACH1,,,ZNF554,BACH1,LHX1,TET2,,BRWD1,,GART,,RUNX1,,TMEM50B,,PAXBP1,,GART,,PAXBP1,,PRMT2,,ITSN1,,TMEM50B
ADCY2,PID1,NTNG1,GATAD2B,COL24A1,PBX1,CHRM3,TARS2,PGM1,AGO4,LAMTOR5,RNF115,ATP5MC3,MPZL1,R3HDM1,SIX3,SOX13,MAP3K20,NHLH2,AK5,,,FEZF2,SALL3,NR3C2,,,,REST,STAT4,RFX3,ZNF18,LHX1,PKNOX1,,,ZNF558,,PHB,EBF1,,HMGN1,,SON,,DOP1B,,GART,,IFNAR2,,SON,,IFNAR2,,,,ATP5PO,,SON
CDH12,CADPS,S100A13,KCNN3,LINC02609,POGK,XDH,VPS72,ROR1,GRIK3,PHGDH,SV2A,PDE1A,DNM3,FMNL2,RAB1A,PLEKHA6,BMPR2,AC119673.2,NEXN,,,KLF3,GABPA,AHRR,,,,PRDM8,KLF7,GLIS3,ONECUT2,PHB,ARX,,,NR2F6,,ZNF580,ATF6B,,GET1,,DONSON,,HLCS,,SON,,IFNAR1,,DONSON,,IL10RB,,,,MRPS6,,DONSON
PAM,PSMD6,CRABP2,ASH1L,RPL5,MPC2,ARHGAP25,AL391069.2,CACHD1,EPHA10,AC245407.2,PRPF3,SUMO1,ASTN1,HIBCH,CIAO1,MFSD4A,RAD18,FAM89A,ADGRL2,,,PRDM8,BACH1,EGR1,,,,THAP9,RARB,ZNF22,TSHZ1,ZNF558,,,,TFAP2C,,,DLX6,,PDE9A,,CRYZL1,,TTC3,,CRYZL1,,SON,,ITSN1,,IFNAR1,,,,MORC3,,CRYZL1
NRN1,FOXP1,NHLH1,DAP3,VCAM1,NME7,CCDC74B,POGZ,MIER1,MANEAL,C1orf61,PSMB4,EEF1B2,RASAL2,HSPD1,ST6GAL2,AC119673.2,SLC6A11,TRIM67,AL078459.1,,,SMARCA5,RUNX1,ID4,,,,LEF1,PCBP4,EMX2,ONECUT3,JUND,,,,,,,DLX5,,RRP1B,,ITSN1,,DYRK1A,,ITSN1,,DONSON,,MRPS6,,IFNGR2,,,,TTC3,,ITSN1
EPHA7,DCBLD2,LHX9,GON4L,S1PR1,C1orf112,MZT2A,SNX27,IL12RB2,RIMS3,NHLH1,ATP8B2,IGFBP5,RALGPS2,EEF1B2,GAD1,DISP1,RAF1,GREM2,DDAH1,,,NR2F1,PKNOX1,HEY2,,,,NEUROG2,PBRM1,HMGA2,NR2F6,ZNF253,,,,,,,ZNF425,,CSTB,,ATP5PO,,BRWD1,,ATP5PO,,CRYZL1,,RUNX1,,GART,,,,DYRK1A,,MRPS6
AHI1,ZBTB20,BTG2,KIRREL1,RHOC,VAMP4,THSD7B,GATAD2B,SERBP1,HIVEP3,Z99572.1,FDPS,ECEL1,ODR4,SUMF1,DLX2,GREM2,LSM3,RPS7,DPYD,,,NEUROG1,ZBED1,UNCX,,,,AHRR,TET2,GTF3A,ZNF730,,,,,,,,RUNX1T1,,DIP2A,,MRPS6,,HMGN1,,MRPS6,,ITSN1,,CHAF1B,,SON,,,,HMGN1,,RCAN1
AIG1,TBL1XR1,AC119673.2,NOS1AP,NHLH2,PIGC,HECW2,SCAMP3,GNG12,RIMKLA,SLC9C2,ASH1L,ULK4,RO60,PDCD6IP,ZNF804A,SNTG2,NGLY1,KLHL29,MIR137HG,,,SP8,,GLI3,,,,NEUROG1,ELF2,SOX21,RUNX1,,,,,,,,TRPS1,,PRMT2,,SLC5A3,,GET1,,RCAN1,,ATP5PO,,HLCS,,DONSON,,,,GET1,,DOP1B
HDAC9,PDE5A,ATF3,HSD17B7,SLC22A15,AL591043.2,PPIL3,FDPS,GNG12-AS1,C1orf50,HMCN1,GON4L,TCTA,CAMSAP2,RPSA,MAP4,FAM228A,LRRC3B,XDH,AL445433.2,,,GLI3,,EBF2,,,,ZNF354A,SOX4,ZIC2,ETS2,,,,,,,,SCRT1,,,,RCAN1,,DSCAM,,DOP1B,,MRPS6,,TTC3,,CRYZL1,,,,SLC37A1,,MORC3
CHCHD2,TRIM2,PROX1,PBX1,NOTCH2,RASAL2,TRAK2,ASH1L,LINC01707,ZSWIM5,AC119673.2,KHDC4,ABHD6,IPO9,SMARCC1,NECTIN3-AS1,ITSN2,ZBTB20-AS5,MSH6,PLPPR4,,,ST18,,ZMAT4,,,,ID4,HIVEP2,BCL11B,,,,,,,,,SMARCA2,,,,RUNX1,,PDE9A,,MORC3,,RCAN1,,VPS26C,,ITSN1,,,,PDE9A,,HLCS
HIP1,VCAN,ESRRG,UCK2,AC245407.2,ACBD6,CREB1,RIT1,AL354949.1,MAST2,KCNH1,SMG5,FEZF2,SERTAD4,PTPRG,ATP6V1A,AC009228.1,H1FX,RPS27A,WDR47,,,ZNF16,,BHLHE22,,,,PLAGL1,SP8,NEUROD2,,,,,,,,,RORB,,,,DOP1B,,NDUFV3,,TTC3,,DOP1B,,DYRK1A,,MRPS6,,,,RRP1B,,TTC3
CACNA2D1,CAMK4,AIDA,AL596087.2,NHLH1,SMG7,NCL,ARHGEF2,AL583808.1,ELAVL4,LPGAT1,RRNAD1,ZIC1,PLEKHH2,PPP4R2,PODXL2,PPP1R21,PFN2,MZT2A,KCND3,,,DMRTA1,,ZNF16,,,,UNCX,DLX6,TCF4,,,,,,,,,DNAJC1,,,,MORC3,,PKNOX1,,VPS26C,,MORC3,,KCNJ6,,RCAN1,,,,RRP1,,VPS26C
CSMD1,NSD1,FAM89A,KIFAP3,LHX9,AL136456.1,ECEL1,SSR2,COL24A1,FAF1,CEP170,UCK2,NDUFB5,SLC4A5,CDV3,IQCJ-SCHIP1,ACYP2,MB21D2,ARL5A,LRIG2,,,LHX2,,LHX2,,,,NEUROD6,DLX5,ZNF407,,,,,,,,,MXI1,,,,HLCS,,RRP1B,,DYRK1A,,CHAF1B,,ETS2,,MORC3,,,,GATD3A,,DYRK1A
FGFR1,JARID2,LGALS8,RABGAP1L,AC119673.2,CRB1,AC034195.1,SEMA4A,ODF2L,ZYG11B,RPS7,POGK,PDE6B,GAD1,SLC25A36,SST,C2orf81,TBC1D1,RBMS1,TSPAN2,,,EBF3,,EGR2,,,,GLI3,FOXP2,HMG20B,,,,,,,,,VAX1,,,,TTC3,,GATD3A,,BRWD1,,HLCS,,BRWD1,,TTC3,,,,SUMO3,,KCNJ6
LAPTM4B,ID4,KIF26B,COP1,ITPKB,CAMSAP2,NR1D2,KIRREL1,BARHL2,DNAJC6,ITGB1BP1,BLZF1,GABRA4,SP9,RASA2,BOD1L1,ANKRD36B,KIT,TBR1,NOTCH2,,,SOX6,,EMX2,,,,ZMAT4,NRF1,ZNF558,,,,,,,,,KDM2A,,,,VPS26C,,SUMO3,,HMGN1,,TTC3,,GET1,,VPS26C,,,,LSS,,BRWD1
KHDRBS3,CD24,RPS7,RASAL2,FAM89A,NAV1,AC010210.1,PEA15,LINC02609,AK5,AC096570.1,VAMP4,PARM1,ANKAR,PLCH1,KLHL5,MIR4435-2HG,CEP135,SSB,BCL9,,,PAX6,,EBF3,,,,E2F5,ST18,SMARCB1,,,,,,,,,ATF7,,,,DYRK1A,,MCM3AP,,GET1,,VPS26C,,DSCAM,,DYRK1A,,,,MCM3AP,,HMGN1
GLIS3,TRAF3IP2-AS1,RNF144A,NMNAT2,CHRM3,IPO9,GPR149,NOS1AP,RPL5,NEXN,LTBP1,DNM3,WDFY3-AS2,RFTN2,IGF2BP2,CCNI,BCL2L11,SEPTIN11,ATP5MC3,PDE4DIP,,,ZBTB16,,SOX5,,,,ZNF706,ZNF704,,,,,,,,,,ASCL1,,,,KCNJ6,,PCNT,,BACE2,,DYRK1A,,BACE2,,BRWD1,,,,PRMT2,,GET1
MPDZ,ELMO1,LINC01833,MIR181A1HG,EXO1,KLHL12,MLF1,POGK,EXTL2,TTLL7,AC132153.1,PIGC,AC097528.1,SEPTIN2,HES1,GPM6A,C2orf27A,ELOVL6,HECW2,HIST2H2BE,,,SOX5,,LHX5,,,,DMRTA1,RUNX1T1,,,,,,,,,,KLF12,,,,BRWD1,,DIP2A,,PDE9A,,BRWD1,,SLC37A1,,HMGN1,,,,,,DSCAM
GOLM1,DOCK4,AC012354.1,CAMSAP2,RPS7,SERTAD4,ECT2,VAMP4,AC093157.1,FNBP1L,LINC01122,PRDX6,AC109927.1,KCNH8,SLIT2,SLC25A4,GPR39,SCRG1,HSPD1,AC244033.2,,,NEUROD4,,ZNF268,,,,LHX2,SCRT1,,,,,,,,,,DPF3,,,,HMGN1,,PRMT2,,NDUFV3,,HMGN1,,NDUFV3,,BACE2,,,,,,SLC37A1
BRINP1,ELOC,AC132153.1,TIMM17A,RRM2,KMO,KCNMB2-AS1,DNM3,OLFM3,MIR137HG,BCL11A,GAS5,PDGFC,NECTIN3-AS1,KCNIP4,MARCH6,ARHGAP15,MAN2A1,HSPE1,VPS45,,,LHX5,,OTX2,,,,EMX2,SMARCA2,,,,,,,,,,FOXN3,,,,DSCAM,,,,RRP1B,,GET1,,RRP1B,,SLC37A1,,,,,,PDE9A
LHX2,SQLE,AC012368.1,PLXNA2,AC096570.1,LINC01833,HS3ST1,RC3H1,NHLH2,WDR47,HTRA2,KIF14,AHRR,ZBTB20,RPL9,TMEM167A,CCDC148,CAMK4,PPIL3,RPRD2,,,NPAS3,,ZFP36L1,,,,HMGA2,RORB,,,,,,,,,,MEIS2,,,,SLC37A1,,,,CSTB,,ABCG1,,PDXK,,PDE9A,,,,,,NDUFV3
PCDH15,RABGAP1,EMX1,SERTAD4,ATRAID,SIX3-AS1,N4BP2,COP1,EFNA4,GSTM3,FER1L5,CAMSAP2,ISL1,RPN1,N4BP2,VCAN,PKP4,SPOCK1,SUMO1,PIP5K1A,,,NR2F2,,FOS,,,,LHX5,PBX3,,,,,,,,,,ARNT2,,,,PDE9A,,,,TRAPPC10,,SLC37A1,,AGPAT3,,NDUFV3,,,,,,PKNOX1
NTM,LRRC4C,TCF7L1,DNAH14,ZFP36L2,AC007100.1,G3BP2,ASTN1,KLHDC9,KCND3,ANKRD39,NAV1,GTF2H2,SOX2,SHROOM3,NREP,SCN2A,NDFIP1,EEF1B2,POGZ,,,ZNF423,,ZNF75A,,,,SOX21,MXI1,,,,,,,,,,ZFP90,,,,NDUFV3,,,,GATD3A,,PDE9A,,TRAPPC10,,PKNOX1,,,,,,RRP1B
SLC4A8,TMEM123,MIR4435-2HG,GALNT2,MIR217HG,AC009501.3,UNC5C,BRINP2,AL596087.2,RNF115,MAP4K4,UBE2T,ARHGEF28,SST,MAML3,KIF3A,RAPGEF4,PTTG1,IRS1,SNX27,,,LHX1,,LHX1,,,,ZIC2,VAX1,,,,,,,,,,ZFHX3,,,,PKNOX1,,,,UBE2G2,,NDUFV3,,GATD3A,,RRP1B,,,,,,CSTB
RMST,GUCY1A2,CYP27C1,RYR2,AC132153.1,SLC4A5,CXXC4,RASAL2,LRRN2,PDE4DIP,CCNT2-AS1,LRRN2,AC010260.1,LINC02506,RNF150,AC011346.1,LINC01473,GABRA1,NCL,CELF3,,,ZNF558,,PHB,,,,ZFP36L1,ASCL1,,,,,,,,,,EZH1,,,,RRP1B,,,,POFUT2,,PKNOX1,,CFAP410,,GATD3A,,,,,,TRAPPC10
HSP90B1,DDX6,PTPN18,ADSS,ARHGAP25,LINC00342,LINC01091,RALGPS2,CDK18,SV2A,RND3,RBBP5,MCTP1,CEP135,SMARCA5,DCTN4,ADAM23,GABRG2,PTMA,GATAD2B,,,ZNF844,,FOXJ1,,,,ZNF423,SMAD9,,,,,,,,,,SETBP1,,,,GATD3A,,,,LSS,,RRP1B,,UBE2G2,,UBE2G2,,,,,,GATD3A
UFM1,C12orf57,CXCR4,FAM49A,KCNIP3,RNF149,AC097528.1,XPR1,AC119673.2,VPS45,LINC01934,EPRS,GLRX,LINC02232,RPS3A,LARP1,AC008269.1,FBLL1,ECEL1,ATP8B2,,,NR2F6,,TGIF1,,,,LHX1,KLF12,,,,,,,,,,ZNF532,,,,UBE2G2,,,,MCM3AP,,CSTB,,PTTG1IP,,PTTG1IP,,,,,,LSS
GPC6,MGAT4C,AC114763.1,NCOA1,ANKRD36B,INHBB,AC109927.1,STX6,SPATA17,CDC42SE1,NEUROD1,SUSD4,VDAC1,MCUB,MARCH1,PANK3,ERBB4,CD24,LRRN1,ADAR,,,JUND,,ZNF521,,,,ZNF521,ZFHX2,,,,,,,,,,SALL3,,,,SUMO3,,,,DIP2A,,TRAPPC10,,ADARB1,,ADARB1,,,,,,MCM3AP
UGGT2,CDK17,ZEB2,SLC5A6,EIF5B,LYPD1,NOCT,NMNAT2,LYPLAL1,MLLT11,ECEL1,CNIH3,SLC25A48,AC027627.1,CBR4,NSD1,AC007563.2,SLC35F1,SRGAP3,TRIM46,,,ZNF536,,ZNF558,,,,ZNF558,FOXN3,,,,,,,,,,ZNF491,,,,ADARB1,,,,PRMT2,,GATD3A,,POFUT2,,LSS,,,,,,PCNT
PCCA,KLF12,KCNJ3,CRIM1,LINC01965,ZNF804A,MGST2,LINC01351,HIST3H2A,SEMA6C,AC012063.1,SDE2,PCDHB5,LINC01060,ADCY2,TUBB2A,DIRC3,CCZ1,RPL32,HCN3,,,ZNF787,,ZNF93,,,,NR2F6,BCL11B,,,,,,,,,,MEIS3,,,,LSS,,,,,,PFKL,,FTCD,,MCM3AP,,,,,,DIP2A
AC110023.1,PCNX4,TBR1,LINC01122,RANBP2,FSIP2,INPP4B,CAMSAP2,COA6,POGZ,ENTPD3-AS1,RYR2,AC008415.1,NIM1K,CCT5,RIPOR2,ECEL1,LSM5,RPL15,ASH1L,,,DNMT3B,,FOSB,,,,ZNF536,RFX7,,,,,,,,,,SCRT2,,,,MCM3AP,,,,,,SUMO3,,LSS,,PCNT,,,,,,PRMT2
EIF5A,BCL11B,FIGN,WDPCP,MIR4435-2HG,C2orf80,SH3D19,IPO9,RPS7,CELF3,CTNNB1,EFCAB2,HIGD2A,HIST1H1C,NIPBL,ATAT1,LMCD1-AS1,ANLN,EOMES,YY1AP1,,,TFAP2C,,SIX5,,,,ZNF580,TCF12,,,,,,,,,,MAFB,,,,PRMT2,,,,,,PCBP3,,MCM3AP,,DIP2A,,,,,,
CCDC144NL-AS1,ZNF609,SP3,ANKRD36,MZT2A,TCAIM,GALNTL6,RNPEP,MYCN,TDRKH,ZNF660,SMYD3,CAP2,ZNF292,EDIL3,NUDT3,SRGAP3,H2AFV,RBMS3,SYT11,,,SOX3,,ID1,,,,ZNF581,SCAPER,,,,,,,,,,ZHX3,,,,,,,,,,LSS,,DIP2A,,PRMT2,,,,,,
CDH20,SBK1,WIPF1,RND3,TMEM163,CAMKV,GALNT7,ARL8A,WDR35,GATAD2B,MAPKAPK3,COLEC11,CLIC1,CD24,CHD1,PHF3,CAND2,PEG10,RPSA,RIT1,,,,,TFAP2C,,,,ZSCAN5A,TOX3,,,,,,,,,,MYT1,,,,,,,,,,MCM3AP,,,,,,,,,,
